sensitive_feature,sensitive_value,target_label,separation_score,separation_category
age_range,20-29,A,0.10267212945784376,C
age_range,30-39,A,0.007547345280196738,A+
age_range,40-49,A,0.010660070740607264,A+
age_range,50-59,A,0.10309704868025771,C
age_range,60-inf,A,0.19852289760632158,D
age_range,20-29,B,0.06475686244356815,B
age_range,30-39,B,0.03600088662593637,A
age_range,40-49,B,0.04030237081161114,A
age_range,50-59,B,0.0790664166459284,B
age_range,60-inf,B,0.17775424347242297,D
age_range,20-29,D,0.07404765376433331,B
age_range,30-39,D,0.015768035916014167,A+
age_range,40-49,D,0.04599183729049494,A
age_range,50-59,D,0.0338472479844143,A
age_range,60-inf,D,0.04866952351800835,A
age_range,20-29,C,0.051202539743119946,B
age_range,30-39,C,0.08121216424932098,C
age_range,40-49,C,0.028504301128735476,A
age_range,50-59,C,0.011744461041538923,A+
age_range,60-inf,C,0.050485135434064854,B
gender,M | F,A,0.021258227965248788,A
gender,M | F,B,0.0707760044028618,B
gender,M | F,D,0.03188129561971487,A
gender,M | F,C,0.026736009493701363,A
