id,incomes,economic_class,gender,target,Reliability
1,21378,third,Male,Xiaomi,7.0
2,113816,first,Female,iPhone,25.0
3,81067,first,Female,Samsung,8.0
4,98215,first,Male,iPhone,84.0
5,30006,second,Male,Xiaomi,50.0
6,41421,second,Female,Samsung,45.0
7,103675,first,Female,iPhone,93.0
8,98094,first,Male,iPhone,70.0
9,44244,second,Female,iPhone,67.0
10,88996,first,Male,Samsung,16.0
11,24386,third,Male,Xiaomi,21.0
12,20817,third,Female,Xiaomi,32.0
13,101417,first,Male,iPhone,54.0
14,99625,first,Female,iPhone,98.0
15,119928,first,Male,iPhone,63.0
16,13568,third,Male,Samsung,57.0
17,43577,second,Male,Samsung,10.0
18,36344,second,Male,Samsung,56.0
19,37728,second,Male,Samsung,65.0
20,84974,first,Female,Samsung,88.0
