id,reason
1,"La ingratitud es hija de la soberbia"
2,"Oh, memoria, enemiga mortal de mi descanso!"
3,"Come poco y cena menos, que la salud de todo el cuerpo se fragua en la oficina del estómago"
4,"Esta que llaman por ahí Fortuna es una mujer borracha y antojadiza, y sobre todo, ciega, y así no ve lo que hace, ni sabe a quien derriba"
5,"La virtud más es perseguida de los malos que amada de los buenos"
6,"Confía en el tiempo, que suele dar dulces salidas a muchas amargas dificultades"
7,"El año que es abundante de poesía, suele serlo de hambre"
8,"Bebo cuando tengo gana, y cuando no la tengo y cuando me lo dan, por no parecer o melindroso o malcriado"
9,"Las tristezas no se hicieron para las bestias, sino para los hombres; pero si los hombres las sienten demasiado, se vuelven bestias."
10,"La pluma es lengua del alma; cuales fueren los conceptos que en ella se engendraron, tales serán sus escritos"
11,"Si acaso doblares la vara de la justicia, no sea con el peso de la dádiva, sino con el de la misericordia."
12,"Mire vuestra merced -respondió Sancho- que aquellos que allí se parecen no son gigantes, sino molinos de viento, y lo que en ellos parecen brazos son las aspas, que, volteadas del viento, hacen andar la piedra del molino"
13,"No huye el que se retira"
14,"Casamientos de parientes tienen mil inconvenientes"
15,"¡Venturoso aquel a quien el cielo dio un pedazo de pan, sin que le quede obligación de agradecérselo a otro que al mismo cielo!"
16,"Por la libertad, así como por la honra, se puede y se debe aventurar la vida"
17,"Cada uno es como Dios le hizo, y aún peor muchas veces."
18,"Aún entre los demonios hay unos peores que otros, y entre muchos malos hombres suele haber alguno bueno."
19,"¡No sabes tú que no es valentía la temeridad?"
20,"Como no estás experimentado en las cosas del mundo, todas las cosas que tienen algo de dificultad te parecen imposibles"
