id,incomes,economic_segment,gender,target_recommendation,score
1,21378,third,Male,Xiaomi,0.86
1,21378,third,Male,Samsung,0.12
1,21378,third,Male,iPhone,0.02
2,113816,first,Female,iPhone,0.95
2,113816,first,Female,Samsung,0.05
2,113816,first,Female,Xiaomi,0
3,81067,first,Female,Samsung,0.9
3,81067,first,Female,iPhone,0.09
3,81067,first,Female,Xiaomi,0.01
4,98215,first,Male,iPhone,0.88
4,98215,first,Male,Samsung,0.1
4,98215,first,Male,Xiaomi,0.02
5,30006,second,Male,Xiaomi,0.94
5,30006,second,Male,Samsung,0.06
5,30006,second,Male,iPhone,0
6,41421,second,Female,Samsung,1
6,41421,second,Female,iPhone,0
6,41421,second,Female,Xiaomi,0
7,103675,first,Female,iPhone,0.94
7,103675,first,Female,Xiaomi,0.05
7,103675,first,Female,Samsung,0.01
8,98094,first,Male,iPhone,0.86
8,98094,first,Male,Samsung,0.07
8,98094,first,Male,Xiaomi,0.07
9,44244,second,Female,iPhone,0.91
9,44244,second,Female,Xiaomi,0.08
9,44244,second,Female,Samsung,0.01
10,88996,first,Male,Samsung,0.97
10,88996,first,Male,iPhone,0.03
10,88996,first,Male,Xiaomi,0
11,24386,third,Male,Xiaomi,0.91
11,24386,third,Male,Samsung,0.08
11,24386,third,Male,iPhone,0.01
12,20817,third,Female,Xiaomi,0.96
12,20817,third,Female,Samsung,0.03
12,20817,third,Female,iPhone,0.01
13,101417,first,Male,iPhone,0.86
13,101417,first,Male,Xiaomi,0.04
13,101417,first,Male,Samsung,0.1
14,99625,first,Female,iPhone,0.92
14,99625,first,Female,Xiaomi,0.07
14,99625,first,Female,Samsung,0.01
15,119928,first,Male,iPhone,0.95
15,119928,first,Male,Xiaomi,0.05
15,119928,first,Male,Samsung,0
16,13568,third,Male,Samsung,0.98
16,13568,third,Male,iPhone,0.01
16,13568,third,Male,Xiaomi,0.01
17,43577,second,Male,Samsung,0.96
17,43577,second,Male,iPhone,0.04
17,43577,second,Male,Xiaomi,0
18,36344,second,Male,Samsung,0.9
18,36344,second,Male,iPhone,0.08
18,36344,second,Male,Xiaomi,0.02
19,37728,second,Male,Samsung,0.99
19,37728,second,Male,iPhone,0
19,37728,second,Male,Xiaomi,0.01
20,84974,first,Female,Samsung,0.88
20,84974,first,Female,iPhone,0.1
20,84974,first,Female,Xiaomi,0.02
