sensitive_feature,sensitive_value,target_label,sufficiency_score,sufficiency_category
gender,M | F,A,0.025110884294171076,A
gender,M | F,B,0.04032646343918789,A
gender,M | F,D,0.004255225743331814,A+
gender,M | F,C,0.01216315599090656,A+
rango_edad,20,A,0.021951830877011136,A
rango_edad,30,A,0.02728057461311606,A
rango_edad,40,A,0.001747973939297709,A+
rango_edad,50,A,0.0032531513751590246,A+
rango_edad,60,A,0.1455220891925587,C
rango_edad,20,B,0.0611765430388127,B
rango_edad,30,B,0.02740262282247008,A
rango_edad,40,B,0.09370933497705647,C
rango_edad,50,B,0.03840950265910825,A
rango_edad,60,B,0.06712433664565298,B
rango_edad,20,D,0.009690033108802454,A+
rango_edad,30,D,0.00546837107319087,A+
rango_edad,40,D,0.010041764082888704,A+
rango_edad,50,D,0.001810423733376476,A+
rango_edad,60,D,0.0031884145848493084,A+
rango_edad,20,C,0.026948867232876372,A
rango_edad,30,C,0.022198303163059485,A
rango_edad,40,C,0.012108200944611403,A+
rango_edad,50,C,0.040054074536833184,A
rango_edad,60,C,0.004149831785329128,A+
