target,node_name,node_weight,rank
iPhone,incomes_high,0.24,1
iPhone,economic_class_first,0.18,2
iPhone,gender_female,0.15,3
iPhone,incomes_mid,0.13,4
iPhone,economic_class_second,0.11,5
iPhone,gender_male,0.09,6
iPhone,economic_class_third,0.08,7
iPhone,incomes_low,0.02,8
Samsung,incomes_mid,0.29,1
Samsung,incomes_high,0.23,2
Samsung,economic_class_second,0.16,3
Samsung,gender_male,0.11,4
Samsung,economic_class_first,0.1,5
Samsung,incomes_low,0.09,6
Samsung,economic_class_third,0.01,7
Samsung,gender_female,0.01,8
Xiaomi,economic_class_third,0.39,1
Xiaomi,incomes_low,0.21,2
Xiaomi,gender_female,0.14,3
Xiaomi,incomes_mid,0.07,4
Xiaomi,gender_male,0.07,5
Xiaomi,economic_class_first,0.05,6
Xiaomi,economic_class_second,0.05,7
Xiaomi,incomes_high,0.02,8
