id,node_1,node_2,edge_weight
1,incomes_high,economic_class_first,0.05
1,incomes_high,economic_class_second,0.45
1,incomes_high,economic_class_third,0.59
1,incomes_high,gender_male,0.69
1,incomes_high,gender_female,0.67
1,incomes_mid,economic_class_first,0.10
1,incomes_mid,economic_class_second,0.56
1,incomes_mid,economic_class_third,0.60
1,incomes_mid,gender_male,0.97
1,incomes_mid,gender_female,0.37
1,incomes_low,economic_class_first,0.53
1,incomes_low,economic_class_second,0.94
1,incomes_low,economic_class_third,0.03
1,incomes_low,gender_male,1.00
1,incomes_low,gender_female,0.79
1,economic_class_first,gender_male,0.13
1,economic_class_first,gender_female,0.03
1,economic_class_second,gender_male,0.65
1,economic_class_second,gender_female,0.59
1,economic_class_third,gender_male,0.61
1,economic_class_third,gender_female,0.57
2,incomes_high,economic_class_first,0.66
2,incomes_high,economic_class_second,0.74
2,incomes_high,economic_class_third,0.27
2,incomes_high,gender_male,0.30
2,incomes_high,gender_female,0.03
2,incomes_mid,economic_class_first,0.92
2,incomes_mid,economic_class_second,0.54
2,incomes_mid,economic_class_third,0.42
2,incomes_mid,gender_male,0.81
2,incomes_mid,gender_female,0.68
2,incomes_low,economic_class_first,0.40
2,incomes_low,economic_class_second,0.33
2,incomes_low,economic_class_third,0.17
2,incomes_low,gender_male,0.75
2,incomes_low,gender_female,0.15
2,economic_class_first,gender_male,0.58
2,economic_class_first,gender_female,0.86
2,economic_class_second,gender_male,0.31
2,economic_class_second,gender_female,0.43
2,economic_class_third,gender_male,0.24
2,economic_class_third,gender_female,0.23
3,incomes_high,economic_class_first,0.32
3,incomes_high,economic_class_second,0.46
3,incomes_high,economic_class_third,1.00
3,incomes_high,gender_male,0.68
3,incomes_high,gender_female,0.42
3,incomes_mid,economic_class_first,0.35
3,incomes_mid,economic_class_second,0.50
3,incomes_mid,economic_class_third,0.33
3,incomes_mid,gender_male,0.35
3,incomes_mid,gender_female,0.47
3,incomes_low,economic_class_first,0.35
3,incomes_low,economic_class_second,0.56
3,incomes_low,economic_class_third,0.19
3,incomes_low,gender_male,0.99
3,incomes_low,gender_female,0.97
3,economic_class_first,gender_male,0.99
3,economic_class_first,gender_female,0.18
3,economic_class_second,gender_male,0.51
3,economic_class_second,gender_female,0.79
3,economic_class_third,gender_male,0.97
3,economic_class_third,gender_female,0.66
4,incomes_high,economic_class_first,0.21
4,incomes_high,economic_class_second,0.75
4,incomes_high,economic_class_third,0.34
4,incomes_high,gender_male,0.62
4,incomes_high,gender_female,0.06
4,incomes_mid,economic_class_first,0.53
4,incomes_mid,economic_class_second,0.23
4,incomes_mid,economic_class_third,0.82
4,incomes_mid,gender_male,1.00
4,incomes_mid,gender_female,0.35
4,incomes_low,economic_class_first,0.06
4,incomes_low,economic_class_second,0.14
4,incomes_low,economic_class_third,0.17
4,incomes_low,gender_male,0.97
4,incomes_low,gender_female,0.80
