id,node_1,node_2,edge_weight,count_relation
1,incomes_high,economic_class_first,4,400
1,incomes_high,economic_class_second,4,400
1,incomes_high,economic_class_third,3,300
1,incomes_high,gender_male,10,1000
1,incomes_high,gender_female,9,900
1,incomes_mid,economic_class_first,2,200
1,incomes_mid,economic_class_second,8,800
1,incomes_mid,economic_class_third,1,100
1,incomes_mid,gender_male,7,700
1,incomes_mid,gender_female,10,1000
1,incomes_low,economic_class_first,6,600
1,incomes_low,economic_class_second,2,200
1,incomes_low,economic_class_third,3,300
1,incomes_low,gender_male,9,900
1,incomes_low,gender_female,10,1000
1,economic_class_first,gender_male,10,1000
1,economic_class_first,gender_female,5,500
1,economic_class_second,gender_male,10,1000
1,economic_class_second,gender_female,1,100
1,economic_class_third,gender_male,2,200
1,economic_class_third,gender_female,5,500
2,incomes_high,economic_class_first,8,800
2,incomes_high,economic_class_second,4,400
2,incomes_high,economic_class_third,4,400
2,incomes_high,gender_male,8,800
2,incomes_high,gender_female,1,100
2,incomes_mid,economic_class_first,2,200
2,incomes_mid,economic_class_second,4,400
2,incomes_mid,economic_class_third,1,100
2,incomes_mid,gender_male,4,400
2,incomes_mid,gender_female,9,900
2,incomes_low,economic_class_first,8,800
2,incomes_low,economic_class_second,6,600
2,incomes_low,economic_class_third,9,900
2,incomes_low,gender_male,5,500
2,incomes_low,gender_female,9,900
2,economic_class_first,gender_male,1,100
2,economic_class_first,gender_female,5,500
2,economic_class_second,gender_male,9,900
2,economic_class_second,gender_female,6,600
2,economic_class_third,gender_male,2,200
2,economic_class_third,gender_female,6,600
3,incomes_high,economic_class_first,1,100
3,incomes_high,economic_class_second,7,700
3,incomes_high,economic_class_third,6,600
3,incomes_high,gender_male,8,800
3,incomes_high,gender_female,4,400
3,incomes_mid,economic_class_first,5,500
3,incomes_mid,economic_class_second,2,200
3,incomes_mid,economic_class_third,4,400
3,incomes_mid,gender_male,3,300
3,incomes_mid,gender_female,6,600
3,incomes_low,economic_class_first,3,300
3,incomes_low,economic_class_second,2,200
3,incomes_low,economic_class_third,3,300
3,incomes_low,gender_male,5,500
3,incomes_low,gender_female,6,600
3,economic_class_first,gender_male,3,300
3,economic_class_first,gender_female,4,400
3,economic_class_second,gender_male,10,1000
3,economic_class_second,gender_female,5,500
3,economic_class_third,gender_male,6,600
3,economic_class_third,gender_female,5,500
4,incomes_high,economic_class_first,10,1000
4,incomes_high,economic_class_second,3,300
4,incomes_high,economic_class_third,2,200
4,incomes_high,gender_male,5,500
4,incomes_high,gender_female,4,400
4,incomes_mid,economic_class_first,6,600
4,incomes_mid,economic_class_second,3,300
4,incomes_mid,economic_class_third,8,800
4,incomes_mid,gender_male,1,100
4,incomes_mid,gender_female,7,700
4,incomes_low,economic_class_first,2,200
4,incomes_low,economic_class_second,1,100
4,incomes_low,economic_class_third,3,300
4,incomes_low,gender_male,7,700
4,incomes_low,gender_female,2,200
4,economic_class_first,gender_male,2,200
4,economic_class_first,gender_female,1,100
4,economic_class_second,gender_male,2,200
4,economic_class_second,gender_female,5,500
4,economic_class_third,gender_male,6,600
4,economic_class_third,gender_female,10,1000
5,incomes_high,economic_class_first,7,700
5,incomes_high,economic_class_second,2,200
5,incomes_high,economic_class_third,7,700
5,incomes_high,gender_male,1,100
5,incomes_high,gender_female,8,800
5,incomes_mid,economic_class_first,8,800
5,incomes_mid,economic_class_second,7,700
5,incomes_mid,economic_class_third,8,800
5,incomes_mid,gender_male,3,300
5,incomes_mid,gender_female,4,400
5,incomes_low,economic_class_first,10,1000
5,incomes_low,economic_class_second,4,400
5,incomes_low,economic_class_third,4,400
5,incomes_low,gender_male,4,400
5,incomes_low,gender_female,2,200
5,economic_class_first,gender_male,10,1000
5,economic_class_first,gender_female,1,100
5,economic_class_second,gender_male,3,300
5,economic_class_second,gender_female,6,600
5,economic_class_third,gender_male,6,600
