target,feature,reason
no_survivor,sex_male,han muerto muchos hombres
no_survivor,sex_female,ser mujer
no_survivor,pclass_1.00,pocos viajar en 1ª clase
no_survivor,pclass_2.00,algunos viajar en 2ª clase
no_survivor,pclass_3.00,muchos viajar en 3ª clase
no_survivor,embarked_S,muchos embarcaron en Southampton
no_survivor,embarked_Q,algunos embarcaron en Queenstown
no_survivor,embarked_C,pocos embarcaron en Cherbourg
no_survivor,fare_0.05,pagaron poco por el billete
no_survivor,fare_0.15,pagaron poco por el billete
no_survivor,fare_0.25,pagaron poco por el billete
no_survivor,fare_0.35,pagaron un billete de coste intermedio
no_survivor,fare_0.45,pagaron un billete de coste intermedio
no_survivor,fare_0.55,pagaron un billete de coste intermedio
no_survivor,fare_0.65,pagaron un billete de coste intermedio
no_survivor,fare_0.75,pagaron mucho por el billete
no_survivor,fare_0.85,pagaron mucho por el billete
no_survivor,fare_0.95,pagaron mucho por el billete
no_survivor,family_size_1.00,eran de una familia de pocos miembros
no_survivor,family_size_2.00,eran de una familia de pocos miembros
no_survivor,family_size_3.00,eran de familia numerosa
no_survivor,family_size_4.00,eran de familia numerosa
no_survivor,family_size_5.00,eran de familia numerosa
no_survivor,family_size_6.00,eran de una familia de muchos miembros
no_survivor,family_size_7.00,eran de una familia de muchos miembros
no_survivor,family_size_10.00,eran de una familia de muchos miembros
no_survivor,age_0.05,eran niños
no_survivor,age_0.15,eran adolescentes
no_survivor,age_0.25,eran jovenes
no_survivor,age_0.35,eran jovenes
no_survivor,age_0.45,eran adultos
no_survivor,age_0.55,eran adultos
no_survivor,age_0.65,eran mayores
no_survivor,age_0.75,eran mayores
no_survivor,age_0.85,eran muy mayores
no_survivor,age_0.95,eran muy mayores
no_survivor,age_1.05,eran excepcionalmente mayores
no_survivor,is_alone_1.00,viajaban solos
survivor,sex_male,sobrevivieron pocos hombres
survivor,sex_female,sobrevivieron muchas mujeres
survivor,pclass_1.00,muchos viajaban en 1ª clase
survivor,pclass_2.00,algunos viajaban en 2ª clase
survivor,pclass_3.00,pocos viajaban en 3ª clase
survivor,embarked_S,pocos embarcaron en Southampton
survivor,embarked_Q,algunos embarcaron en Queenstown
survivor,embarked_C,muchos embarcaron en Cherbourg
survivor,fare_0.05,pagaron poco por el billete
survivor,fare_0.15,pagaron poco por el billete
survivor,fare_0.25,pagaron poco por el billete
survivor,fare_0.35,pagaron un billete de coste intermedio
survivor,fare_0.45,pagaron un billete de coste intermedio
survivor,fare_0.55,pagaron un billete de coste intermedio
survivor,fare_0.65,pagaron un billete de coste intermedio
survivor,fare_0.75,pagaron mucho por el billete
survivor,fare_0.85,pagaron mucho por el billete
survivor,fare_0.95,pagaron mucho por el billete
survivor,family_size_1.00,eran de una familia de pocos miembros
survivor,family_size_2.00,eran de una familia de pocos miembros
survivor,family_size_3.00,eran de familia numerosa
survivor,family_size_4.00,eran de familia numerosa
survivor,family_size_5.00,eran de familia numerosa
survivor,family_size_6.00,eran de una familia de muchos miembros
survivor,family_size_7.00,eran de una familia de muchos miembros
survivor,family_size_10.00,eran de una familia de muchos miembros
survivor,age_0.05,eran niños
survivor,age_0.15,eran adolescentes
survivor,age_0.25,eran jovenes
survivor,age_0.35,eran jovenes
survivor,age_0.45,eran adultos
survivor,age_0.55,eran adultos
survivor,age_0.65,eran mayores
survivor,age_0.75,eran mayores
survivor,age_0.85,eran muy mayores
survivor,age_0.95,eran muy mayores
survivor,age_1.05,eran excepcionalmente mayores
survivor,is_alone_1.00,viajaba solo
