target,node_1,node_2,count,edge_weight
no_survivor,age_0.05,embarked_C,1,1
no_survivor,age_0.05,embarked_Q,3,1
no_survivor,age_0.05,embarked_S,20,1
no_survivor,age_0.05,family_size_1.00,1,1
no_survivor,age_0.05,family_size_2.00,6,1
no_survivor,age_0.05,family_size_3.00,1,1
no_survivor,age_0.05,family_size_4.00,3,1
no_survivor,age_0.05,family_size_5.00,8,1
no_survivor,age_0.05,family_size_6.00,4,1
no_survivor,age_0.05,family_size_7.00,1,1
no_survivor,age_0.05,fare_0.45,2,1
no_survivor,age_0.05,fare_0.55,4,1
no_survivor,age_0.05,fare_0.65,4,1
no_survivor,age_0.05,fare_0.75,9,1
no_survivor,age_0.05,fare_0.85,4,1
no_survivor,age_0.05,fare_0.95,1,1
no_survivor,age_0.05,is_alone_0.00,23,1
no_survivor,age_0.05,is_alone_1.00,1,1
no_survivor,age_0.05,pclass_1.00,1,1
no_survivor,age_0.05,pclass_3.00,23,1
no_survivor,age_0.05,sex_female,9,1
no_survivor,age_0.05,sex_male,15,1
no_survivor,age_0.05,title_Mr,15,1
no_survivor,age_0.05,title_Mrs,9,1
no_survivor,age_0.15,embarked_C,10,1
no_survivor,age_0.15,embarked_Q,5,1
no_survivor,age_0.15,embarked_S,67,1
no_survivor,age_0.15,family_size_0.00,36,1
no_survivor,age_0.15,family_size_1.00,9,1
no_survivor,age_0.15,family_size_10.00,1,1
no_survivor,age_0.15,family_size_2.00,13,1
no_survivor,age_0.15,family_size_3.00,4,1
no_survivor,age_0.15,family_size_4.00,4,1
no_survivor,age_0.15,family_size_5.00,6,1
no_survivor,age_0.15,family_size_6.00,4,1
no_survivor,age_0.15,family_size_7.00,5,1
no_survivor,age_0.15,fare_0.15,13,1
no_survivor,age_0.15,fare_0.25,8,1
no_survivor,age_0.15,fare_0.35,7,1
no_survivor,age_0.15,fare_0.45,6,1
no_survivor,age_0.15,fare_0.55,7,1
no_survivor,age_0.15,fare_0.65,15,1
no_survivor,age_0.15,fare_0.75,9,1
no_survivor,age_0.15,fare_0.85,11,1
no_survivor,age_0.15,fare_0.95,6,1
no_survivor,age_0.15,is_alone_0.00,37,1
no_survivor,age_0.15,is_alone_1.00,45,1
no_survivor,age_0.15,pclass_1.00,2,1
no_survivor,age_0.15,pclass_2.00,10,1
no_survivor,age_0.15,pclass_3.00,70,2
no_survivor,age_0.15,sex_female,23,1
no_survivor,age_0.15,sex_male,59,1
no_survivor,age_0.15,title_Mr,59,1
no_survivor,age_0.15,title_Mrs,23,1
no_survivor,age_0.25,embarked_C,30,1
no_survivor,age_0.25,embarked_Q,8,1
no_survivor,age_0.25,embarked_S,63,1
no_survivor,age_0.25,family_size_0.00,80,2
no_survivor,age_0.25,family_size_1.00,13,1
no_survivor,age_0.25,family_size_2.00,6,1
no_survivor,age_0.25,family_size_4.00,1,1
no_survivor,age_0.25,family_size_5.00,1,1
no_survivor,age_0.25,fare_0.05,1,1
no_survivor,age_0.25,fare_0.15,38,1
no_survivor,age_0.25,fare_0.25,19,1
no_survivor,age_0.25,fare_0.35,7,1
no_survivor,age_0.25,fare_0.45,14,1
no_survivor,age_0.25,fare_0.55,7,1
no_survivor,age_0.25,fare_0.65,6,1
no_survivor,age_0.25,fare_0.75,2,1
no_survivor,age_0.25,fare_0.85,3,1
no_survivor,age_0.25,fare_0.95,4,1
no_survivor,age_0.25,is_alone_0.00,8,1
no_survivor,age_0.25,is_alone_1.00,93,2
no_survivor,age_0.25,pclass_1.00,5,1
no_survivor,age_0.25,pclass_2.00,12,1
no_survivor,age_0.25,pclass_3.00,84,2
no_survivor,age_0.25,sex_female,12,1
no_survivor,age_0.25,sex_male,89,2
no_survivor,age_0.25,title_Mr,89,2
no_survivor,age_0.25,title_Mrs,12,1
no_survivor,age_0.35,embarked_C,8,1
no_survivor,age_0.35,embarked_Q,7,1
no_survivor,age_0.35,embarked_S,59,1
no_survivor,age_0.35,family_size_0.00,62,1
no_survivor,age_0.35,family_size_1.00,6,1
no_survivor,age_0.35,family_size_2.00,5,1
no_survivor,age_0.35,family_size_3.00,1,1
no_survivor,age_0.35,fare_0.15,18,1
no_survivor,age_0.35,fare_0.25,17,1
no_survivor,age_0.35,fare_0.35,9,1
no_survivor,age_0.35,fare_0.45,15,1
no_survivor,age_0.35,fare_0.55,3,1
no_survivor,age_0.35,fare_0.65,3,1
no_survivor,age_0.35,fare_0.75,2,1
no_survivor,age_0.35,fare_0.85,2,1
no_survivor,age_0.35,fare_0.95,5,1
no_survivor,age_0.35,is_alone_0.00,6,1
no_survivor,age_0.35,is_alone_1.00,68,1
no_survivor,age_0.35,pclass_1.00,5,1
no_survivor,age_0.35,pclass_2.00,16,1
no_survivor,age_0.35,pclass_3.00,53,1
no_survivor,age_0.35,sex_female,11,1
no_survivor,age_0.35,sex_male,63,1
no_survivor,age_0.35,title_Mr,62,1
no_survivor,age_0.35,title_Mrs,11,1
no_survivor,age_0.35,title_rare,1,1
no_survivor,age_0.45,embarked_C,8,1
no_survivor,age_0.45,embarked_Q,2,1
no_survivor,age_0.45,embarked_S,76,2
no_survivor,age_0.45,family_size_0.00,72,2
no_survivor,age_0.45,family_size_1.00,8,1
no_survivor,age_0.45,family_size_2.00,3,1
no_survivor,age_0.45,family_size_3.00,3,1
no_survivor,age_0.45,fare_0.15,14,1
no_survivor,age_0.45,fare_0.25,49,1
no_survivor,age_0.45,fare_0.35,3,1
no_survivor,age_0.45,fare_0.45,9,1
no_survivor,age_0.45,fare_0.55,2,1
no_survivor,age_0.45,fare_0.65,3,1
no_survivor,age_0.45,fare_0.75,4,1
no_survivor,age_0.45,fare_0.85,1,1
no_survivor,age_0.45,fare_0.95,1,1
no_survivor,age_0.45,is_alone_0.00,6,1
no_survivor,age_0.45,is_alone_1.00,80,2
no_survivor,age_0.45,pclass_1.00,2,1
no_survivor,age_0.45,pclass_2.00,13,1
no_survivor,age_0.45,pclass_3.00,71,2
no_survivor,age_0.45,sex_female,7,1
no_survivor,age_0.45,sex_male,79,2
no_survivor,age_0.45,title_Mr,79,2
no_survivor,age_0.45,title_Mrs,7,1
no_survivor,age_0.55,embarked_C,11,1
no_survivor,age_0.55,embarked_Q,2,1
no_survivor,age_0.55,embarked_S,65,1
no_survivor,age_0.55,family_size_0.00,60,1
no_survivor,age_0.55,family_size_1.00,13,1
no_survivor,age_0.55,family_size_2.00,4,1
no_survivor,age_0.55,family_size_4.00,1,1
no_survivor,age_0.55,fare_0.15,19,1
no_survivor,age_0.55,fare_0.25,17,1
no_survivor,age_0.55,fare_0.35,3,1
no_survivor,age_0.55,fare_0.45,11,1
no_survivor,age_0.55,fare_0.55,6,1
no_survivor,age_0.55,fare_0.65,6,1
no_survivor,age_0.55,fare_0.75,8,1
no_survivor,age_0.55,fare_0.85,4,1
no_survivor,age_0.55,fare_0.95,4,1
no_survivor,age_0.55,is_alone_0.00,5,1
no_survivor,age_0.55,is_alone_1.00,73,2
no_survivor,age_0.55,pclass_1.00,9,1
no_survivor,age_0.55,pclass_2.00,17,1
no_survivor,age_0.55,pclass_3.00,52,1
no_survivor,age_0.55,sex_female,10,1
