id,age,fare,family_size,embarked,sex,pclass,title,is_alone,target,reliability
5,0.95,0.75,0.0,S,male,1.0,Mr,1.0,survivor,0.14
24,0.55,0.95,0.0,S,female,1.0,Mrs,1.0,survivor,1.0
50,0.95,1.05,1.0,C,female,1.0,Mrs,1.0,survivor,1.0
62,0.95,0.95,1.0,S,male,1.0,Mr,1.0,no_survivor,1.0
78,0.95,0.95,2.0,C,female,1.0,Mrs,0.0,survivor,1.0
81,1.05,0.95,2.0,S,male,1.0,rare,0.0,no_survivor,1.0
82,0.75,0.95,2.0,S,female,1.0,Mrs,0.0,survivor,1.0
87,0.55,0.75,0.0,S,male,1.0,Mr,1.0,survivor,0.67
102,0.35,0.95,1.0,C,female,1.0,Mrs,1.0,survivor,1.0
115,0.95,0.95,5.0,S,male,1.0,Mr,0.0,no_survivor,1.0
116,0.95,0.95,5.0,S,female,1.0,Mrs,0.0,survivor,1.0
120,0.85,0.75,1.0,C,male,1.0,Mr,1.0,survivor,1.0
132,0.35,0.95,0.0,C,male,1.0,Mr,1.0,no_survivor,1.0
179,0.95,0.75,0.0,S,male,1.0,Mr,1.0,no_survivor,0.86
186,0.95,0.75,0.0,C,female,1.0,Mrs,1.0,survivor,0.67
191,0.65,0.85,0.0,S,male,1.0,Mr,1.0,no_survivor,1.0
200,0.95,0.95,0.0,C,male,1.0,Mr,1.0,no_survivor,1.0
203,0.55,0.95,1.0,C,male,1.0,Mr,1.0,no_survivor,1.0
228,0.15,0.95,1.0,C,male,1.0,Mr,1.0,no_survivor,1.0
290,0.95,0.95,2.0,S,male,1.0,Mr,0.0,no_survivor,1.0
291,0.85,0.95,2.0,S,female,1.0,Mrs,0.0,survivor,1.0
302,0.75,1.05,0.0,C,female,1.0,Mrs,1.0,survivor,1.0
311,0.95,0.95,2.0,S,female,1.0,Mrs,0.0,survivor,1.0
339,0.05,0.85,3.0,S,male,2.0,Mr,0.0,survivor,1.0
343,0.75,0.45,0.0,S,male,2.0,Mr,1.0,no_survivor,1.0
344,0.25,0.45,0.0,S,female,2.0,Mrs,1.0,survivor,1.0
352,0.85,0.85,2.0,S,female,2.0,Mrs,0.0,survivor,1.0
379,0.65,0.75,2.0,S,female,2.0,Mrs,0.0,survivor,1.0
392,0.35,0.75,1.0,C,female,2.0,Mrs,1.0,survivor,1.0
400,0.75,0.75,2.0,S,female,2.0,Mrs,0.0,survivor,1.0
411,0.85,0.45,0.0,S,female,2.0,Mrs,1.0,no_survivor,0.33
415,0.75,0.45,0.0,S,female,2.0,Mrs,1.0,survivor,1.0
430,0.05,0.75,1.0,S,female,2.0,Mrs,1.0,survivor,1.0
466,0.75,0.75,1.0,S,male,2.0,Mr,1.0,no_survivor,1.0
470,0.75,0.45,0.0,Q,male,2.0,Mr,1.0,no_survivor,1.0
473,0.75,0.05,0.0,S,male,2.0,Mr,1.0,no_survivor,1.0
476,0.65,0.75,2.0,S,male,2.0,rare,0.0,no_survivor,1.0
504,0.85,0.45,0.0,S,male,2.0,Mr,1.0,no_survivor,1.0
521,0.55,0.45,0.0,S,female,2.0,Mrs,1.0,survivor,1.0
527,0.55,0.45,0.0,S,male,2.0,Mr,1.0,no_survivor,1.0
529,0.95,0.75,1.0,S,female,2.0,Mrs,1.0,survivor,0.5
533,0.25,0.65,1.0,S,female,2.0,Mrs,1.0,survivor,1.0
547,0.35,0.55,0.0,C,male,2.0,Mr,1.0,no_survivor,1.0
570,0.95,0.45,0.0,S,female,2.0,Mrs,1.0,survivor,0.67
615,0.25,0.25,0.0,S,male,3.0,Mr,1.0,no_survivor,0.82
632,0.85,0.75,6.0,S,female,3.0,Mrs,0.0,no_survivor,0.5
636,0.15,0.65,1.0,S,female,3.0,Mrs,1.0,no_survivor,0.5
647,0.95,0.15,0.0,C,female,3.0,Mrs,1.0,survivor,1.0
673,0.25,0.15,0.0,C,male,3.0,Mr,1.0,no_survivor,0.95
675,0.25,0.15,0.0,S,male,3.0,Mr,1.0,no_survivor,1.0
685,0.25,0.65,0.0,S,male,3.0,Mr,1.0,no_survivor,1.0
695,0.15,0.25,0.0,Q,female,3.0,Mrs,1.0,no_survivor,0.5
700,0.15,0.35,0.0,S,male,3.0,Mr,1.0,no_survivor,0.88
706,0.25,0.55,1.0,C,female,3.0,Mrs,1.0,no_survivor,1.0
730,0.55,0.25,0.0,S,male,3.0,Mr,1.0,no_survivor,0.92
778,0.65,0.45,0.0,S,female,3.0,Mrs,1.0,survivor,1.0
784,0.35,0.55,1.0,S,male,3.0,Mr,1.0,no_survivor,1.0
795,0.25,0.15,0.0,C,male,3.0,Mr,1.0,no_survivor,0.95
800,0.75,0.15,0.0,Q,female,3.0,Mrs,1.0,survivor,0.86
803,0.45,0.25,0.0,Q,male,3.0,Mr,1.0,no_survivor,1.0
808,0.45,0.25,0.0,S,male,3.0,Mr,1.0,no_survivor,0.98
824,0.85,0.15,0.0,S,male,3.0,Mr,1.0,no_survivor,1.0
833,0.95,0.25,0.0,S,male,3.0,Mr,1.0,no_survivor,0.8
834,0.65,0.35,0.0,S,male,3.0,Mr,1.0,no_survivor,1.0
869,0.55,0.65,0.0,S,male,3.0,Mr,1.0,no_survivor,1.0
875,0.65,0.15,0.0,C,male,3.0,Mr,1.0,no_survivor,1.0
