id,target,node_1,node_2,count,edge_weight
5,survivor,age_0.95,embarked_S,42,1
5,survivor,age_0.95,family_size_0.00,28,1
5,survivor,age_0.95,fare_0.75,17,1
5,survivor,age_0.95,is_alone_1.00,54,1
5,survivor,age_0.95,pclass_1.00,60,1
5,survivor,age_0.95,sex_male,20,1
5,survivor,age_0.95,title_Mr,14,1
5,survivor,embarked_S,is_alone_1.00,202,3
5,survivor,embarked_S,pclass_1.00,99,2
5,survivor,embarked_S,sex_male,92,2
5,survivor,embarked_S,title_Mr,89,2
5,survivor,family_size_0.00,embarked_S,134,2
5,survivor,family_size_0.00,is_alone_1.00,228,4
5,survivor,family_size_0.00,pclass_1.00,80,2
5,survivor,family_size_0.00,sex_male,79,2
5,survivor,family_size_0.00,title_Mr,75,2
5,survivor,fare_0.75,embarked_S,62,1
5,survivor,fare_0.75,family_size_0.00,37,1
5,survivor,fare_0.75,is_alone_1.00,54,1
5,survivor,fare_0.75,pclass_1.00,39,1
5,survivor,fare_0.75,sex_male,31,1
5,survivor,fare_0.75,title_Mr,28,1
5,survivor,pclass_1.00,is_alone_1.00,155,3
5,survivor,pclass_1.00,title_Mr,52,1
5,survivor,sex_male,is_alone_1.00,105,2
5,survivor,sex_male,pclass_1.00,59,1
5,survivor,sex_male,title_Mr,135,2
5,survivor,title_Mr,is_alone_1.00,100,2
24,survivor,age_0.55,embarked_S,32,1
24,survivor,age_0.55,family_size_0.00,25,1
24,survivor,age_0.55,fare_0.95,5,1
24,survivor,age_0.55,is_alone_1.00,34,1
24,survivor,age_0.55,pclass_1.00,12,1
24,survivor,age_0.55,sex_female,24,1
24,survivor,age_0.55,title_Mrs,23,1
24,survivor,embarked_S,is_alone_1.00,202,3
24,survivor,embarked_S,pclass_1.00,99,2
24,survivor,embarked_S,sex_female,205,3
24,survivor,embarked_S,title_Mrs,202,3
24,survivor,family_size_0.00,embarked_S,134,2
24,survivor,family_size_0.00,is_alone_1.00,228,4
24,survivor,family_size_0.00,pclass_1.00,80,2
24,survivor,family_size_0.00,sex_female,149,3
24,survivor,family_size_0.00,title_Mrs,142,3
24,survivor,fare_0.95,embarked_S,52,1
24,survivor,fare_0.95,family_size_0.00,36,1
24,survivor,fare_0.95,is_alone_1.00,77,2
24,survivor,fare_0.95,pclass_1.00,111,2
24,survivor,fare_0.95,sex_female,95,2
24,survivor,fare_0.95,title_Mrs,91,2
24,survivor,pclass_1.00,is_alone_1.00,155,3
24,survivor,pclass_1.00,title_Mrs,132,2
24,survivor,sex_female,is_alone_1.00,250,4
24,survivor,sex_female,pclass_1.00,139,3
24,survivor,sex_female,title_Mrs,341,5
24,survivor,title_Mrs,is_alone_1.00,242,4
50,survivor,age_0.95,embarked_C,34,1
50,survivor,age_0.95,family_size_1.00,26,1
50,survivor,age_0.95,fare_1.05,1,1
