id,node_name,node_importance,node_weight,rank,target
5,pclass_1.00,0.19494010407169182,25,1,survivor
5,fare_0.75,0.14634638124169702,20,2,survivor
5,is_alone_1.00,0.09899680603735804,15,3,survivor
5,family_size_0.00,0.08030208083069959,15,4,survivor
5,embarked_S,0.05888306250751528,15,5,survivor
5,sex_male,0.02277275758912367,10,6,survivor
5,age_0.95,0.01622934451341876,10,7,survivor
5,title_Mr,0.006433970465944294,10,8,survivor
24,sex_female,0.16672146193456272,25,1,survivor
24,title_Mrs,0.16418063390627569,25,2,survivor
24,fare_0.95,0.16077327721386478,25,3,survivor
24,pclass_1.00,0.13459551449138185,20,4,survivor
24,family_size_0.00,0.004618252699875397,10,5,survivor
24,age_0.55,0.004413041824122163,10,6,survivor
24,is_alone_1.00,0.0008799714780282604,10,7,survivor
24,embarked_S,-0.011277646290662434,10,8,survivor
50,fare_1.05,0.21494840352678798,30,1,survivor
50,sex_female,0.11559623667208056,20,2,survivor
50,title_Mrs,0.11413259466960977,20,3,survivor
50,pclass_1.00,0.07779450892332615,15,4,survivor
50,embarked_C,0.05437253399456336,15,5,survivor
50,family_size_1.00,0.042876943016152275,10,6,survivor
50,age_0.95,0.009283698283432807,10,7,survivor
50,is_alone_1.00,-0.0041004118285043545,10,8,survivor
62,title_Mr,0.16264363780258695,25,1,no_survivor
62,sex_male,0.15462545360422456,20,2,no_survivor
62,embarked_S,0.09860610027519404,15,3,no_survivor
62,age_0.95,0.08600640540974758,15,4,no_survivor
62,is_alone_1.00,0.013791838782423902,10,5,no_survivor
62,fare_0.95,-0.0012966399164992502,10,6,no_survivor
62,family_size_1.00,-0.05808538043803862,15,7,no_survivor
62,pclass_1.00,-0.08119592277708758,15,8,no_survivor
78,sex_female,0.1652470869828329,25,1,survivor
78,title_Mrs,0.16439875056346198,25,2,survivor
78,pclass_1.00,0.07738047100021431,15,3,survivor
78,fare_0.95,0.06650903528930975,15,4,survivor
78,embarked_C,0.05926768203095019,15,5,survivor
78,family_size_2.00,0.056032429836400735,15,6,survivor
78,age_0.95,0.0205692926597396,10,7,survivor
78,is_alone_0.00,0.015499758894538997,10,8,survivor
81,age_1.05,0.4649093432757713,50,1,no_survivor
81,sex_male,0.09841490355304755,15,2,no_survivor
81,is_alone_0.00,-0.005039326992957809,10,3,no_survivor
81,title_rare,-0.007388597697534096,10,4,no_survivor
81,embarked_S,-0.009846862378742282,10,5,no_survivor
81,family_size_2.00,-0.027932650309731362,10,6,no_survivor
81,fare_0.95,-0.05664479055579958,15,7,no_survivor
81,pclass_1.00,-0.08137652615150212,15,8,no_survivor
82,pclass_1.00,0.19085163219542514,25,1,survivor
82,sex_female,0.13815492654366612,20,2,survivor
82,title_Mrs,0.13783769174629484,20,3,survivor
82,family_size_2.00,0.11496426878259296,20,4,survivor
82,fare_0.95,0.07692086357990185,15,5,survivor
82,embarked_S,-0.0007189677386357722,10,6,survivor
82,is_alone_0.00,-0.00976173206597977,10,7,survivor
82,age_0.75,-0.023344175785816972,10,8,survivor
87,pclass_1.00,0.2567558725966458,30,1,survivor
87,age_0.55,0.18853108523836826,25,2,survivor
87,fare_0.75,0.12376032745158173,20,3,survivor
87,embarked_S,0.07287059881433773,15,4,survivor
87,is_alone_1.00,0.03408087957871268,10,5,survivor
87,family_size_0.00,0.03115260543190096,10,6,survivor
87,title_Mr,-0.04089714376461333,10,7,survivor
87,sex_male,-0.04134971808948526,10,8,survivor
102,sex_female,0.15281867546303743,20,1,survivor
102,title_Mrs,0.1514923257692999,20,2,survivor
102,fare_0.95,0.08272837942129876,15,3,survivor
102,pclass_1.00,0.0818110025093862,15,4,survivor
102,embarked_C,0.056428588543147716,15,5,survivor
102,family_size_1.00,0.052677348598497695,15,6,survivor
102,age_0.35,0.05090093924079524,10,7,survivor
102,is_alone_1.00,-0.0039527522880143445,10,8,survivor
115,title_Mr,0.19307523054231626,25,1,no_survivor
115,sex_male,0.16338964218900465,25,2,no_survivor
115,family_size_5.00,0.14401001414212491,20,3,no_survivor
115,age_0.95,0.03768442173441479,10,4,no_survivor
115,embarked_S,0.028474941207738864,10,5,no_survivor
115,is_alone_0.00,-0.03916933754269703,10,6,no_survivor
115,fare_0.95,-0.06429352182521292,15,7,no_survivor
115,pclass_1.00,-0.0880758977051379,15,8,no_survivor
116,sex_female,0.17446156977775826,25,1,survivor
116,title_Mrs,0.17358060425366256,25,2,survivor
116,pclass_1.00,0.15889389992561936,25,3,survivor
116,fare_0.95,0.14115998735591267,20,4,survivor
116,age_0.95,0.01649813721554572,10,5,survivor
116,is_alone_0.00,0.01639066527720981,10,6,survivor
116,embarked_S,-0.01864513475684959,10,7,survivor
116,family_size_5.00,-0.03743522179141034,10,8,survivor
120,age_0.85,0.19238987950056347,25,1,survivor
120,family_size_1.00,0.184983859148591,25,2,survivor
120,fare_0.75,0.16296050855860283,25,3,survivor
120,pclass_1.00,0.13937583779824483,20,4,survivor
120,embarked_C,0.1359795837228246,20,5,survivor
120,is_alone_1.00,-0.003851957597195728,10,6,survivor
120,title_Mr,-0.09091726159388365,15,7,survivor
120,sex_male,-0.09601594228029892,15,8,survivor
132,title_Mr,0.1777826868520435,25,1,no_survivor
132,sex_male,0.17474204175190833,25,2,no_survivor
132,family_size_0.00,0.15091843960355253,20,3,no_survivor
132,age_0.35,0.03590501855571607,10,4,no_survivor
132,is_alone_1.00,0.010940545165655704,10,5,no_survivor
132,fare_0.95,-0.04621467481456646,10,6,no_survivor
132,embarked_C,-0.058718842357282246,15,7,no_survivor
132,pclass_1.00,-0.07025972201447576,15,8,no_survivor
179,title_Mr,0.1185660295340557,20,1,no_survivor
