id,reason
5,"No es posible ofrecer una explicación para este caso."
24,"Por viajar en 1ª clase, ser mujer y pagar mucho por el billete, este caso ha sido clasificado como SURVIVOR, teniendo en cuenta que muchos viajaban en 1ª clase, sobrevivieron muchas mujeres y pagaron mucho por el billete."
50,"Por viajar en 1ª clase, ser mujer y embarcar en un pueblo de clase alta, este caso ha sido clasificado como SURVIVOR, teniendo en cuenta que muchos viajaban en 1ª clase, sobrevivieron muchas mujeres y muchos embarcaron en cherbourg."
62,"La clasificación de este caso como NO_SURVIVOR se debe a embarcar en un pueblo de clase baja, ser hombre y ser una persona muy mayor, ya que muchos embarcaron en southampton, han muerto muchos hombres y eran muy mayores."
78,"Este caso ha sido clasificado como SURVIVOR por viajar en 1ª clase, ser mujer y pagar mucho por el billete, ya que muchos viajaban en 1ª clase, sobrevivieron muchas mujeres  pagaron mucho por el billete."
81,"La clasificación de este caso como NO_SURVIVOR se debe a embarcar en un pueblo de clase baja, ser hombre y ser una persona muy mayor, ya que muchos embarcaron en southampton, han muerto muchos hombres y eran excepcionalmente mayores."
82,"Por viajar en 1ª clase, ser mujer y ser una familia de pocos miembros, este caso ha sido clasificado como SURVIVOR, teniendo en cuenta que muchos viajaban en 1ª clase, sobrevivieron muchas mujeres y eran de una familia de pocos miembros."
87,"No es posible ofrecer una explicación para este caso."
102,"Este caso ha sido clasificado como SURVIVOR por viajar en 1ª clase, ser mujer y pagar mucho por el billete, ya que muchos viajaban en 1ª clase, sobrevivieron muchas mujeres  pagaron mucho por el billete."
115,"Como han muerto muchos hombres, eran muy mayores y eran de familia numerosa, y este caso se caracteriza por ser hombre, ser una persona muy mayor y ser familia numerosa, ha ido clasificado como NO_SURVIVOR."
116,"Por viajar en 1ª clase, ser mujer y pagar mucho por el billete, este caso ha sido clasificado como SURVIVOR, puesto que muchos viajaban en 1ª clase, sobrevivieron muchas mujeres y pagaron mucho por el billete."
120,"Por pagar mucho por el billete, ser una familia de pocos miembros y ser una persona muy mayor, este caso ha sido clasificado como SURVIVOR, teniendo en cuenta que pagaron mucho por el billete, eran de una familia de pocos miembros y eran muy mayores."
132,"Este caso ha sido clasificado como NO_SURVIVOR por viajar solo, ser hombre y ser joven, ya que viajaban solos, han muerto muchos hombres y eran jovenes."
179,"Por embarcar en un pueblo de clase baja, ser hombre y ser una persona muy mayor, este caso ha sido clasificado como NO_SURVIVOR, teniendo en cuenta que muchos embarcaron en southampton, han muerto muchos hombres y eran muy mayores."
186,"No es posible ofrecer una explicación para este caso."
