target,node_1,node_2,count,edge_weight
target_0,age_0.05,embarked_C,1,1
target_0,age_0.05,embarked_Q,3,1
target_0,age_0.05,embarked_S,20,1
target_0,age_0.05,family_size_1.00,1,1
target_0,age_0.05,family_size_2.00,6,1
target_0,age_0.05,family_size_3.00,1,1
target_0,age_0.05,family_size_4.00,3,1
target_0,age_0.05,family_size_5.00,8,1
target_0,age_0.05,family_size_6.00,4,1
target_0,age_0.05,family_size_7.00,1,1
target_0,age_0.05,fare_0.45,2,1
target_0,age_0.05,fare_0.55,4,1
target_0,age_0.05,fare_0.65,4,1
target_0,age_0.05,fare_0.75,9,1
target_0,age_0.05,fare_0.85,4,1
target_0,age_0.05,fare_0.95,1,1
target_0,age_0.05,is_alone_0.00,1,1
target_0,age_0.05,is_alone_1.00,23,1
target_0,age_0.05,pclass_1.00,1,1
target_0,age_0.05,pclass_3.00,23,1
target_0,age_0.05,sex_female,9,1
target_0,age_0.05,sex_male,15,1
target_0,age_0.05,title_Mr,15,1
target_0,age_0.05,title_Mrs,9,1
target_0,age_0.15,embarked_C,10,1
target_0,age_0.15,embarked_Q,5,1
target_0,age_0.15,embarked_S,67,1
target_0,age_0.15,family_size_0.00,36,1
target_0,age_0.15,family_size_1.00,9,1
target_0,age_0.15,family_size_10.00,1,1
target_0,age_0.15,family_size_2.00,13,1
target_0,age_0.15,family_size_3.00,4,1
target_0,age_0.15,family_size_4.00,4,1
target_0,age_0.15,family_size_5.00,6,1
target_0,age_0.15,family_size_6.00,4,1
target_0,age_0.15,family_size_7.00,5,1
target_0,age_0.15,fare_0.15,13,1
target_0,age_0.15,fare_0.25,8,1
target_0,age_0.15,fare_0.35,7,1
target_0,age_0.15,fare_0.45,6,1
target_0,age_0.15,fare_0.55,7,1
target_0,age_0.15,fare_0.65,15,1
target_0,age_0.15,fare_0.75,9,1
target_0,age_0.15,fare_0.85,11,1
target_0,age_0.15,fare_0.95,6,1
target_0,age_0.15,is_alone_0.00,45,1
target_0,age_0.15,is_alone_1.00,37,1
target_0,age_0.15,pclass_1.00,2,1
target_0,age_0.15,pclass_2.00,10,1
target_0,age_0.15,pclass_3.00,70,2
target_0,age_0.15,sex_female,23,1
target_0,age_0.15,sex_male,59,1
target_0,age_0.15,title_Mr,59,1
target_0,age_0.15,title_Mrs,23,1
target_0,age_0.25,embarked_C,30,1
target_0,age_0.25,embarked_Q,8,1
target_0,age_0.25,embarked_S,65,1
target_0,age_0.25,family_size_0.00,82,2
target_0,age_0.25,family_size_1.00,13,1
target_0,age_0.25,family_size_2.00,6,1
target_0,age_0.25,family_size_4.00,1,1
target_0,age_0.25,family_size_5.00,1,1
target_0,age_0.25,fare_0.05,1,1
