target,node_name,node_importance,node_weight,rank
target_0,age_0.05,0.18803656556553358,50,1
target_0,title_rare,0.18218318238168105,50,2
target_0,age_1.05,0.18140713610083664,50,3
target_0,title_Mrs,0.15856179387575933,45,4
target_0,embarked_Q,0.14879805021503964,40,5
target_0,family_size_1.00,0.13860697870476058,40,6
target_0,embarked_C,0.12370637215026052,35,7
target_0,is_alone_0.00,0.11929640609844087,35,8
target_0,family_size_0.00,0.1144284291591138,30,9
target_0,family_size_2.00,0.11033573666923059,30,10
target_0,family_size_3.00,0.1101685567561849,30,11
target_0,embarked_S,0.10966422233264704,30,12
target_0,fare_0.85,0.10669950434841746,30,13
target_0,is_alone_1.00,0.10519891571416556,30,14
target_0,age_0.45,0.09326242580467281,25,15
target_0,family_size_6.00,0.09104557354102677,25,16
target_0,age_0.25,0.09060671730310374,25,17
target_0,title_Mr,0.08977114248234484,25,18
target_0,family_size_5.00,0.08837172249363455,25,19
target_0,fare_0.65,0.08527159378644673,25,20
target_0,sex_female,0.0848323891414301,25,21
target_0,sex_male,0.08402365186983979,20,22
target_0,age_0.35,0.08275001460010559,20,23
target_0,age_0.65,0.08260136541336155,20,24
target_0,family_size_4.00,0.08242942659599121,20,25
target_0,age_0.55,0.0774333941420817,20,26
target_0,age_0.85,0.07672778838593149,20,27
target_0,family_size_10.00,0.07549218467836605,20,28
target_0,age_0.75,0.07259489901576317,20,29
target_0,age_0.15,0.07235637840446037,20,30
target_0,fare_0.75,0.07026826509864606,20,31
target_0,fare_0.95,0.06911540430999802,20,32
target_0,family_size_7.00,0.06601872436798362,15,33
target_0,pclass_1.00,0.06251486953612252,15,34
target_0,age_0.95,0.061567533357316975,15,35
target_0,pclass_3.00,0.05902697535344121,15,36
target_0,fare_0.55,0.05789869038490762,15,37
target_0,pclass_2.00,0.05165462726161044,15,38
target_0,fare_0.25,0.04090495341223639,10,39
target_0,fare_0.45,0.04016029247973785,10,40
target_0,fare_0.35,0.03970609156886592,10,41
target_0,fare_0.05,0.03885287169616734,10,42
target_0,fare_1.05,0.038269049313189876,10,43
target_0,fare_0.15,0.03342895700761,10,44
target_1,family_size_4.00,0.13852100035007037,40,1
target_1,family_size_10.00,0.12060833179025782,35,2
target_1,family_size_5.00,0.10583182045160258,30,3
target_1,age_0.55,0.10106510641169403,25,4
target_1,family_size_7.00,0.10049247704766347,25,5
target_1,age_0.45,0.1003372118184272,25,6
target_1,title_Mrs,0.10020234640775899,25,7
target_1,family_size_6.00,0.0976560050762489,25,8
target_1,family_size_2.00,0.09561019664167762,25,9
target_1,family_size_3.00,0.09158428217219297,25,10
target_1,sex_female,0.08997678272340903,25,11
target_1,age_0.15,0.08977079267414122,25,12
target_1,fare_0.55,0.08579463695865618,25,13
target_1,family_size_1.00,0.08469766511605126,20,14
target_1,age_0.65,0.0807482105389092,20,15
target_1,age_0.75,0.0795412490977838,20,16
target_1,age_0.85,0.07745467982068834,20,17
target_1,age_0.35,0.075767414169243,20,18
target_1,sex_male,0.07531450187226883,20,19
target_1,age_0.25,0.07490485889126289,20,20
target_1,title_rare,0.06805549509335708,20,21
target_1,age_0.95,0.06509051889054691,15,22
target_1,age_1.05,0.06439936393521978,15,23
target_1,age_0.05,0.0635850052195767,15,24
target_1,family_size_0.00,0.06181034390126641,15,25
target_1,pclass_1.00,0.0611528755758725,15,26
target_1,title_Mr,0.06009082433798202,15,27
target_1,fare_0.65,0.05851291077743587,15,28
target_1,fare_0.15,0.05317589153332618,15,29
target_1,pclass_3.00,0.053063775377564966,15,30
target_1,fare_0.95,0.05295995848800682,15,31
target_1,fare_1.05,0.05288362584431772,15,32
target_1,fare_0.75,0.051930654324470436,15,33
target_1,fare_0.25,0.04575917433451466,10,34
target_1,fare_0.85,0.04490882638807434,10,35
target_1,fare_0.35,0.043974717855397846,10,36
target_1,fare_0.45,0.03873575179726925,10,37
target_1,pclass_2.00,0.03572633759083586,10,38
target_1,is_alone_1.00,0.030766185373484373,5,39
target_1,embarked_S,0.023677566640501486,5,40
target_1,embarked_C,0.023625701755017128,5,41
target_1,embarked_Q,0.021565208025241995,5,42
target_1,is_alone_0.00,0.021446355568379698,5,43
target_1,fare_0.05,0.015837224890857256,5,44
