id,age,fare,family_size,embarked,sex,pclass,title,is_alone,target,quality_measure
0,0.55,0.95,0.0,S,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
1,0.05,0.95,3.0,S,male,1.0,Mr,1.0,target_1,4.440892098500626e-16
2,0.05,0.95,3.0,S,female,1.0,Mrs,1.0,target_0,0.0
3,0.65,0.95,3.0,S,male,1.0,Mr,1.0,target_0,2.220446049250313e-16
4,0.45,0.95,3.0,S,female,1.0,Mrs,1.0,target_0,1.1102230246251565e-16
5,0.95,0.75,0.0,S,male,1.0,Mr,0.0,target_1,0.8636363636363635
6,0.95,0.95,1.0,S,female,1.0,Mrs,0.0,target_1,0.20000000000000007
7,0.85,0.05,0.0,S,male,1.0,Mr,0.0,target_0,0.0
8,0.95,0.85,2.0,S,female,1.0,Mrs,1.0,target_1,4.440892098500626e-16
9,1.05,0.85,0.0,C,male,1.0,Mr,0.0,target_0,2.220446049250313e-16
10,0.95,0.95,1.0,C,male,1.0,rare,0.0,target_0,2.220446049250313e-16
11,0.15,0.95,1.0,C,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
12,0.35,0.95,0.0,C,female,1.0,rare,0.0,target_1,2.220446049250313e-16
13,0.45,0.95,0.0,S,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
14,1.05,0.75,0.0,S,male,1.0,Mr,0.0,target_1,-2.220446049250313e-16
15,0.95,0.75,0.0,S,male,1.0,Mr,0.0,target_0,0.13636363636363635
16,0.35,0.95,1.0,C,male,1.0,Mr,0.0,target_0,0.4999999999999999
17,0.95,0.95,1.0,C,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
18,0.65,0.95,0.0,C,female,1.0,Mrs,0.0,target_1,0.0
19,0.75,0.95,0.0,C,male,1.0,Mr,0.0,target_0,-2.220446049250313e-16
20,0.75,0.85,2.0,S,male,1.0,Mr,1.0,target_1,0.0
21,0.95,0.85,2.0,S,female,1.0,Mrs,1.0,target_1,4.440892098500626e-16
22,0.45,0.75,0.0,C,male,1.0,Mr,0.0,target_1,0.5
23,0.85,0.95,0.0,C,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
24,0.55,0.95,0.0,S,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
25,0.45,0.75,0.0,C,male,1.0,Mr,0.0,target_0,0.5
26,0.45,0.95,1.0,C,male,1.0,Mr,0.0,target_1,2.220446049250313e-16
27,0.25,0.95,1.0,C,female,1.0,Mrs,0.0,target_1,0.0
28,0.75,0.95,0.0,S,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
29,0.55,0.75,0.0,S,male,1.0,Mr,0.0,target_1,0.33333333333333337
30,0.95,0.85,0.0,S,male,1.0,Mr,0.0,target_0,2.220446049250313e-16
31,0.85,0.75,0.0,C,male,1.0,Mr,0.0,target_1,0.5
32,0.65,0.95,0.0,S,female,1.0,Mrs,0.0,target_1,0.0
33,0.95,0.75,0.0,S,female,1.0,Mrs,0.0,target_1,0.0
34,0.85,0.75,0.0,S,male,1.0,Mr,0.0,target_0,0.4999999999999999
35,0.95,0.95,0.0,C,female,1.0,Mrs,0.0,target_1,0.0
36,0.35,0.85,1.0,S,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
37,0.95,0.75,0.0,S,male,1.0,Mr,0.0,target_0,0.13636363636363635
38,0.85,0.75,0.0,S,male,1.0,Mr,0.0,target_0,0.4999999999999999
39,0.95,0.85,0.0,C,male,1.0,Mr,0.0,target_0,0.0
40,0.55,0.85,0.0,C,male,1.0,rare,0.0,target_0,0.0
41,0.85,0.75,0.0,C,female,1.0,Mrs,0.0,target_1,0.0
42,0.95,0.85,2.0,S,female,1.0,Mrs,1.0,target_1,4.440892098500626e-16
43,0.95,0.95,0.0,C,female,1.0,Mrs,0.0,target_1,0.0
44,0.85,0.95,0.0,C,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
45,0.95,0.75,0.0,S,male,1.0,rare,0.0,target_0,0.3333333333333335
46,0.65,0.75,0.0,S,male,1.0,Mr,0.0,target_0,1.1102230246251565e-16
47,0.85,0.75,0.0,S,male,1.0,Mr,0.0,target_1,0.5000000000000001
48,0.95,0.75,0.0,C,female,1.0,Mrs,0.0,target_1,0.33333333333333337
49,0.75,1.05,1.0,C,male,1.0,Mr,0.0,target_1,0.0
50,0.95,1.05,1.0,C,female,1.0,Mrs,0.0,target_1,0.0
51,0.65,0.15,0.0,S,male,1.0,Mr,0.0,target_0,0.0
52,0.55,0.85,0.0,S,male,1.0,Mr,0.0,target_0,0.5000000000000001
53,0.15,0.85,0.0,S,male,1.0,Mr,0.0,target_0,0.0
54,0.15,0.95,3.0,S,male,1.0,Mr,1.0,target_1,0.0
55,0.15,0.95,3.0,S,female,1.0,Mrs,1.0,target_1,0.0
56,0.75,0.95,3.0,S,male,1.0,Mr,1.0,target_1,2.220446049250313e-16
57,0.75,0.95,3.0,S,female,1.0,Mrs,1.0,target_1,-2.220446049250313e-16
58,0.95,0.75,0.0,S,male,1.0,Mr,0.0,target_0,0.13636363636363635
59,0.75,0.75,0.0,C,female,1.0,Mrs,0.0,target_1,0.5
60,0.75,0.95,1.0,S,male,1.0,Mr,0.0,target_0,-2.220446049250313e-16
61,1.05,0.95,1.0,S,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
62,0.95,0.95,1.0,S,male,1.0,Mr,0.0,target_0,0.0
63,0.95,0.95,1.0,S,female,1.0,Mrs,0.0,target_1,0.20000000000000007
64,0.55,0.85,1.0,S,male,1.0,Mr,0.0,target_1,0.0
65,0.65,0.85,1.0,S,female,1.0,Mrs,0.0,target_1,0.0
66,0.75,0.95,0.0,C,female,1.0,Mrs,0.0,target_1,0.0
67,0.65,0.95,0.0,S,female,1.0,Mrs,0.0,target_1,0.0
68,0.95,0.75,0.0,C,male,1.0,Mr,0.0,target_1,0.4999999999999999
69,0.75,0.85,1.0,S,female,1.0,Mrs,0.0,target_1,0.0
70,0.75,0.05,0.0,S,male,1.0,Mr,0.0,target_0,0.0
71,0.55,0.95,1.0,C,male,1.0,Mr,0.0,target_0,1.1102230246251565e-16
72,0.45,0.95,1.0,C,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
73,0.35,0.95,0.0,S,female,1.0,Mrs,0.0,target_1,2.220446049250313e-16
74,0.75,0.85,0.0,S,male,1.0,Mr,0.0,target_0,0.0
75,0.95,0.75,0.0,S,male,1.0,Mr,0.0,target_0,0.13636363636363635
76,0.85,0.95,2.0,C,female,1.0,Mrs,1.0,target_1,4.440892098500626e-16
77,0.75,0.95,2.0,C,male,1.0,Mr,1.0,target_0,2.220446049250313e-16
78,0.95,0.95,2.0,C,female,1.0,Mrs,1.0,target_1,4.440892098500626e-16
79,0.95,0.75,2.0,S,female,1.0,Mrs,1.0,target_1,2.220446049250313e-16
80,0.95,0.75,0.0,S,male,1.0,Mr,0.0,target_0,0.13636363636363635
81,1.05,0.95,2.0,S,male,1.0,rare,1.0,target_0,3.3306690738754696e-16
82,0.75,0.95,2.0,S,female,1.0,Mrs,1.0,target_1,2.220446049250313e-16
83,0.95,0.75,2.0,S,female,1.0,Mrs,1.0,target_1,2.220446049250313e-16
84,0.85,0.95,1.0,C,male,1.0,Mr,0.0,target_0,-2.220446049250313e-16
85,0.85,0.95,1.0,C,female,1.0,Mrs,0.0,target_1,0.0
86,0.95,0.75,0.0,S,male,1.0,Mr,0.0,target_1,0.8636363636363635
87,0.55,0.75,0.0,S,male,1.0,Mr,0.0,target_1,0.33333333333333337
88,0.65,0.95,0.0,S,female,1.0,Mrs,0.0,target_1,0.0
89,0.65,0.85,1.0,S,male,1.0,Mr,0.0,target_0,0.4999999999999999
90,0.55,0.85,3.0,S,female,1.0,Mrs,1.0,target_1,0.0
91,0.65,0.85,1.0,S,male,1.0,Mr,0.0,target_1,0.5
