id,target,node_1,node_2,count,edge_weight
0,target_1,age_0.55,embarked_S,32,1
0,target_1,age_0.55,family_size_0.00,25,1
0,target_1,age_0.55,fare_0.95,5,1
0,target_1,age_0.55,is_alone_0.00,34,1
0,target_1,age_0.55,pclass_1.00,12,1
0,target_1,age_0.55,sex_female,24,1
0,target_1,age_0.55,title_Mrs,23,1
0,target_1,embarked_S,is_alone_0.00,200,3
0,target_1,embarked_S,pclass_1.00,99,2
0,target_1,embarked_S,sex_female,205,3
0,target_1,embarked_S,title_Mrs,202,3
0,target_1,family_size_0.00,embarked_S,132,2
0,target_1,family_size_0.00,is_alone_0.00,228,4
0,target_1,family_size_0.00,pclass_1.00,80,2
0,target_1,family_size_0.00,sex_female,151,3
0,target_1,family_size_0.00,title_Mrs,144,3
0,target_1,fare_0.95,embarked_S,52,1
0,target_1,fare_0.95,family_size_0.00,36,1
0,target_1,fare_0.95,is_alone_0.00,77,2
0,target_1,fare_0.95,pclass_1.00,111,2
0,target_1,fare_0.95,sex_female,95,2
0,target_1,fare_0.95,title_Mrs,91,2
0,target_1,pclass_1.00,is_alone_0.00,155,3
0,target_1,pclass_1.00,title_Mrs,132,2
0,target_1,sex_female,is_alone_0.00,252,4
0,target_1,sex_female,pclass_1.00,139,3
0,target_1,sex_female,title_Mrs,343,5
0,target_1,title_Mrs,is_alone_0.00,244,4
1,target_1,age_0.05,embarked_S,31,1
1,target_1,age_0.05,family_size_3.00,12,1
1,target_1,age_0.05,fare_0.95,3,1
1,target_1,age_0.05,is_alone_1.00,35,1
1,target_1,age_0.05,pclass_1.00,3,1
1,target_1,age_0.05,sex_male,20,1
1,target_1,age_0.05,title_Mr,20,1
1,target_1,embarked_S,is_alone_1.00,95,2
1,target_1,embarked_S,pclass_1.00,99,2
1,target_1,embarked_S,sex_male,90,2
1,target_1,embarked_S,title_Mr,87,2
1,target_1,family_size_3.00,embarked_S,23,1
1,target_1,family_size_3.00,is_alone_1.00,30,1
1,target_1,family_size_3.00,pclass_1.00,6,1
1,target_1,family_size_3.00,sex_male,5,1
1,target_1,family_size_3.00,title_Mr,5,1
1,target_1,fare_0.95,embarked_S,52,1
1,target_1,fare_0.95,family_size_3.00,8,1
1,target_1,fare_0.95,is_alone_1.00,37,1
1,target_1,fare_0.95,pclass_1.00,111,2
1,target_1,fare_0.95,sex_male,19,1
1,target_1,fare_0.95,title_Mr,17,1
1,target_1,pclass_1.00,is_alone_1.00,43,1
1,target_1,pclass_1.00,title_Mr,52,1
1,target_1,sex_male,is_alone_1.00,37,1
1,target_1,sex_male,pclass_1.00,59,1
1,target_1,sex_male,title_Mr,133,2
1,target_1,title_Mr,is_alone_1.00,35,1
2,target_0,age_0.05,embarked_S,20,1
2,target_0,age_0.05,family_size_3.00,1,1
2,target_0,age_0.05,fare_0.95,1,1
2,target_0,age_0.05,is_alone_1.00,23,1
2,target_0,age_0.05,pclass_1.00,1,1
2,target_0,age_0.05,sex_female,9,1
2,target_0,age_0.05,title_Mrs,9,1
2,target_0,embarked_S,is_alone_1.00,121,2
2,target_0,embarked_S,pclass_1.00,80,2
2,target_0,embarked_S,sex_female,88,2
2,target_0,embarked_S,title_Mrs,88,2
2,target_0,family_size_3.00,embarked_S,12,1
2,target_0,family_size_3.00,is_alone_1.00,13,1
2,target_0,family_size_3.00,pclass_1.00,3,1
2,target_0,family_size_3.00,sex_female,4,1
2,target_0,family_size_3.00,title_Mrs,4,1
2,target_0,fare_0.95,embarked_S,40,1
2,target_0,fare_0.95,family_size_3.00,4,1
2,target_0,fare_0.95,is_alone_1.00,31,1
2,target_0,fare_0.95,pclass_1.00,46,1
2,target_0,fare_0.95,sex_female,8,1
2,target_0,fare_0.95,title_Mrs,8,1
2,target_0,pclass_1.00,is_alone_1.00,16,1
2,target_0,pclass_1.00,title_Mrs,5,1
2,target_0,sex_female,is_alone_1.00,50,1
2,target_0,sex_female,pclass_1.00,5,1
2,target_0,sex_female,title_Mrs,114,2
2,target_0,title_Mrs,is_alone_1.00,50,1
3,target_0,age_0.65,embarked_S,60,1
3,target_0,age_0.65,family_size_3.00,2,1
3,target_0,age_0.65,fare_0.95,3,1
3,target_0,age_0.65,is_alone_1.00,10,1
3,target_0,age_0.65,pclass_1.00,10,1
3,target_0,age_0.65,sex_male,73,2
3,target_0,age_0.65,title_Mr,72,2
3,target_0,embarked_S,is_alone_1.00,121,2
3,target_0,embarked_S,pclass_1.00,80,2
3,target_0,embarked_S,sex_male,533,8
3,target_0,embarked_S,title_Mr,520,8
3,target_0,family_size_3.00,embarked_S,12,1
3,target_0,family_size_3.00,is_alone_1.00,13,1
3,target_0,family_size_3.00,pclass_1.00,3,1
3,target_0,family_size_3.00,sex_male,9,1
3,target_0,family_size_3.00,title_Mr,9,1
3,target_0,fare_0.95,embarked_S,40,1
3,target_0,fare_0.95,family_size_3.00,4,1
3,target_0,fare_0.95,is_alone_1.00,31,1
3,target_0,fare_0.95,pclass_1.00,46,1
3,target_0,fare_0.95,sex_male,58,1
3,target_0,fare_0.95,title_Mr,55,1
3,target_0,pclass_1.00,is_alone_1.00,16,1
3,target_0,pclass_1.00,title_Mr,112,2
3,target_0,sex_male,is_alone_1.00,98,2
3,target_0,sex_male,pclass_1.00,120,2
3,target_0,sex_male,title_Mr,685,10
3,target_0,title_Mr,is_alone_1.00,95,2
4,target_0,age_0.45,embarked_S,76,2
4,target_0,age_0.45,family_size_3.00,3,1
4,target_0,age_0.45,fare_0.95,1,1
4,target_0,age_0.45,is_alone_1.00,6,1
4,target_0,age_0.45,pclass_1.00,2,1
4,target_0,age_0.45,sex_female,7,1
4,target_0,age_0.45,title_Mrs,7,1
4,target_0,embarked_S,is_alone_1.00,121,2
4,target_0,embarked_S,pclass_1.00,80,2
4,target_0,embarked_S,sex_female,88,2
4,target_0,embarked_S,title_Mrs,88,2
4,target_0,family_size_3.00,embarked_S,12,1
4,target_0,family_size_3.00,is_alone_1.00,13,1
4,target_0,family_size_3.00,pclass_1.00,3,1
4,target_0,family_size_3.00,sex_female,4,1
4,target_0,family_size_3.00,title_Mrs,4,1
4,target_0,fare_0.95,embarked_S,40,1
4,target_0,fare_0.95,family_size_3.00,4,1
4,target_0,fare_0.95,is_alone_1.00,31,1
4,target_0,fare_0.95,pclass_1.00,46,1
4,target_0,fare_0.95,sex_female,8,1
4,target_0,fare_0.95,title_Mrs,8,1
4,target_0,pclass_1.00,is_alone_1.00,16,1
4,target_0,pclass_1.00,title_Mrs,5,1
4,target_0,sex_female,is_alone_1.00,50,1
4,target_0,sex_female,pclass_1.00,5,1
4,target_0,sex_female,title_Mrs,114,2
4,target_0,title_Mrs,is_alone_1.00,50,1
5,target_1,age_0.95,embarked_S,42,1
5,target_1,age_0.95,family_size_0.00,28,1
5,target_1,age_0.95,fare_0.75,17,1
5,target_1,age_0.95,is_alone_0.00,54,1
5,target_1,age_0.95,pclass_1.00,60,1
5,target_1,age_0.95,sex_male,20,1
5,target_1,age_0.95,title_Mr,14,1
5,target_1,embarked_S,is_alone_0.00,200,3
5,target_1,embarked_S,pclass_1.00,99,2
5,target_1,embarked_S,sex_male,90,2
5,target_1,embarked_S,title_Mr,87,2
5,target_1,family_size_0.00,embarked_S,132,2
5,target_1,family_size_0.00,is_alone_0.00,228,4
5,target_1,family_size_0.00,pclass_1.00,80,2
5,target_1,family_size_0.00,sex_male,77,2
5,target_1,family_size_0.00,title_Mr,73,2
5,target_1,fare_0.75,embarked_S,62,1
5,target_1,fare_0.75,family_size_0.00,37,1
5,target_1,fare_0.75,is_alone_0.00,54,1
5,target_1,fare_0.75,pclass_1.00,39,1
5,target_1,fare_0.75,sex_male,31,1
5,target_1,fare_0.75,title_Mr,28,1
5,target_1,pclass_1.00,is_alone_0.00,155,3
5,target_1,pclass_1.00,title_Mr,52,1
5,target_1,sex_male,is_alone_0.00,103,2
5,target_1,sex_male,pclass_1.00,59,1
5,target_1,sex_male,title_Mr,133,2
5,target_1,title_Mr,is_alone_0.00,98,2
6,target_1,age_0.95,embarked_S,42,1
6,target_1,age_0.95,family_size_1.00,26,1
6,target_1,age_0.95,fare_0.95,33,1
6,target_1,age_0.95,is_alone_0.00,54,1
6,target_1,age_0.95,pclass_1.00,60,1
6,target_1,age_0.95,sex_female,56,1
6,target_1,age_0.95,title_Mrs,54,1
6,target_1,embarked_S,is_alone_0.00,200,3
6,target_1,embarked_S,pclass_1.00,99,2
6,target_1,embarked_S,sex_female,205,3
6,target_1,embarked_S,title_Mrs,202,3
6,target_1,family_size_1.00,embarked_S,68,1
6,target_1,family_size_1.00,is_alone_0.00,127,2
6,target_1,family_size_1.00,pclass_1.00,75,2
6,target_1,family_size_1.00,sex_female,101,2
6,target_1,family_size_1.00,title_Mrs,100,2
6,target_1,fare_0.95,embarked_S,52,1
6,target_1,fare_0.95,family_size_1.00,41,1
6,target_1,fare_0.95,is_alone_0.00,77,2
6,target_1,fare_0.95,pclass_1.00,111,2
6,target_1,fare_0.95,sex_female,95,2
6,target_1,fare_0.95,title_Mrs,91,2
6,target_1,pclass_1.00,is_alone_0.00,155,3
6,target_1,pclass_1.00,title_Mrs,132,2
6,target_1,sex_female,is_alone_0.00,252,4
6,target_1,sex_female,pclass_1.00,139,3
6,target_1,sex_female,title_Mrs,343,5
6,target_1,title_Mrs,is_alone_0.00,244,4
7,target_0,age_0.85,embarked_S,63,1
7,target_0,age_0.85,family_size_0.00,47,1
7,target_0,age_0.85,fare_0.05,3,1
7,target_0,age_0.85,is_alone_0.00,60,1
7,target_0,age_0.85,pclass_1.00,17,1
7,target_0,age_0.85,sex_male,67,1
7,target_0,age_0.85,title_Mr,62,1
7,target_0,embarked_S,is_alone_0.00,500,8
7,target_0,embarked_S,pclass_1.00,80,2
7,target_0,embarked_S,sex_male,533,8
7,target_0,embarked_S,title_Mr,520,8
7,target_0,family_size_0.00,embarked_S,425,7
7,target_0,family_size_0.00,is_alone_0.00,562,9
7,target_0,family_size_0.00,pclass_1.00,80,2
7,target_0,family_size_0.00,sex_male,519,8
7,target_0,family_size_0.00,title_Mr,507,8
7,target_0,fare_0.05,embarked_S,15,1
7,target_0,fare_0.05,family_size_0.00,15,1
7,target_0,fare_0.05,is_alone_0.00,15,1
7,target_0,fare_0.05,pclass_1.00,6,1
7,target_0,fare_0.05,sex_male,15,1
7,target_0,fare_0.05,title_Mr,14,1
7,target_0,pclass_1.00,is_alone_0.00,109,2
7,target_0,pclass_1.00,title_Mr,112,2
7,target_0,sex_male,is_alone_0.00,605,9
7,target_0,sex_male,pclass_1.00,120,2
7,target_0,sex_male,title_Mr,685,10
7,target_0,title_Mr,is_alone_0.00,590,9
8,target_1,age_0.95,embarked_S,42,1
8,target_1,age_0.95,family_size_2.00,18,1
8,target_1,age_0.95,fare_0.85,13,1
8,target_1,age_0.95,is_alone_1.00,22,1
8,target_1,age_0.95,pclass_1.00,60,1
8,target_1,age_0.95,sex_female,56,1
8,target_1,age_0.95,title_Mrs,54,1
8,target_1,embarked_S,is_alone_1.00,95,2
8,target_1,embarked_S,pclass_1.00,99,2
8,target_1,embarked_S,sex_female,205,3
8,target_1,embarked_S,title_Mrs,202,3
8,target_1,family_size_2.00,embarked_S,61,1
8,target_1,family_size_2.00,is_alone_1.00,91,2
8,target_1,family_size_2.00,pclass_1.00,29,1
8,target_1,family_size_2.00,sex_female,62,1
8,target_1,family_size_2.00,title_Mrs,62,1
8,target_1,fare_0.85,embarked_S,42,1
8,target_1,fare_0.85,family_size_2.00,11,1
8,target_1,fare_0.85,is_alone_1.00,19,1
8,target_1,fare_0.85,pclass_1.00,43,1
8,target_1,fare_0.85,sex_female,41,1
8,target_1,fare_0.85,title_Mrs,39,1
8,target_1,pclass_1.00,is_alone_1.00,43,1
8,target_1,pclass_1.00,title_Mrs,132,2
8,target_1,sex_female,is_alone_1.00,99,2
8,target_1,sex_female,pclass_1.00,139,3
8,target_1,sex_female,title_Mrs,343,5
8,target_1,title_Mrs,is_alone_1.00,99,2
9,target_0,age_1.05,embarked_C,2,1
9,target_0,age_1.05,family_size_0.00,6,1
9,target_0,age_1.05,fare_0.85,2,1
9,target_0,age_1.05,is_alone_0.00,7,1
9,target_0,age_1.05,pclass_1.00,4,1
9,target_0,age_1.05,sex_male,8,1
9,target_0,age_1.05,title_Mr,7,1
9,target_0,embarked_C,is_alone_0.00,104,2
9,target_0,embarked_C,pclass_1.00,44,1
9,target_0,embarked_C,sex_male,110,2
9,target_0,embarked_C,title_Mr,107,2
9,target_0,family_size_0.00,embarked_C,76,2
9,target_0,family_size_0.00,is_alone_0.00,562,9
9,target_0,family_size_0.00,pclass_1.00,80,2
9,target_0,family_size_0.00,sex_male,519,8
9,target_0,family_size_0.00,title_Mr,507,8
9,target_0,fare_0.85,embarked_C,8,1
9,target_0,fare_0.85,family_size_0.00,24,1
9,target_0,fare_0.85,is_alone_0.00,32,1
9,target_0,fare_0.85,pclass_1.00,29,1
9,target_0,fare_0.85,sex_male,47,1
9,target_0,fare_0.85,title_Mr,46,1
9,target_0,pclass_1.00,is_alone_0.00,109,2
9,target_0,pclass_1.00,title_Mr,112,2
9,target_0,sex_male,is_alone_0.00,605,9
9,target_0,sex_male,pclass_1.00,120,2
9,target_0,sex_male,title_Mr,685,10
9,target_0,title_Mr,is_alone_0.00,590,9
10,target_0,age_0.95,embarked_C,20,1
10,target_0,age_0.95,family_size_1.00,19,1
10,target_0,age_0.95,fare_0.95,23,1
10,target_0,age_0.95,is_alone_0.00,88,2
10,target_0,age_0.95,pclass_1.00,57,1
10,target_0,age_0.95,sex_male,92,2
10,target_0,age_0.95,title_rare,7,1
10,target_0,embarked_C,is_alone_0.00,104,2
10,target_0,embarked_C,pclass_1.00,44,1
10,target_0,embarked_C,sex_male,110,2
10,target_0,embarked_C,title_rare,3,1
10,target_0,family_size_1.00,embarked_C,28,1
10,target_0,family_size_1.00,is_alone_0.00,108,2
10,target_0,family_size_1.00,pclass_1.00,29,1
10,target_0,family_size_1.00,sex_male,86,2
10,target_0,family_size_1.00,title_rare,3,1
10,target_0,fare_0.95,embarked_C,25,1
10,target_0,fare_0.95,family_size_1.00,20,1
10,target_0,fare_0.95,is_alone_0.00,35,1
10,target_0,fare_0.95,pclass_1.00,46,1
10,target_0,fare_0.95,sex_male,58,1
10,target_0,fare_0.95,title_rare,3,1
10,target_0,pclass_1.00,is_alone_0.00,109,2
10,target_0,pclass_1.00,title_rare,8,1
10,target_0,sex_male,is_alone_0.00,605,9
10,target_0,sex_male,pclass_1.00,120,2
10,target_0,sex_male,title_rare,18,1
10,target_0,title_rare,is_alone_0.00,16,1
11,target_1,age_0.15,embarked_C,19,1
11,target_1,age_0.15,family_size_1.00,17,1
11,target_1,age_0.15,fare_0.95,10,1
11,target_1,age_0.15,is_alone_0.00,33,1
11,target_1,age_0.15,pclass_1.00,15,1
11,target_1,age_0.15,sex_female,42,1
11,target_1,age_0.15,title_Mrs,42,1
11,target_1,embarked_C,is_alone_0.00,111,2
11,target_1,embarked_C,pclass_1.00,97,2
11,target_1,embarked_C,sex_female,102,2
11,target_1,embarked_C,title_Mrs,97,2
11,target_1,family_size_1.00,embarked_C,52,1
11,target_1,family_size_1.00,is_alone_0.00,127,2
11,target_1,family_size_1.00,pclass_1.00,75,2
11,target_1,family_size_1.00,sex_female,101,2
11,target_1,family_size_1.00,title_Mrs,100,2
11,target_1,fare_0.95,embarked_C,60,1
11,target_1,fare_0.95,family_size_1.00,41,1
11,target_1,fare_0.95,is_alone_0.00,77,2
11,target_1,fare_0.95,pclass_1.00,111,2
11,target_1,fare_0.95,sex_female,95,2
11,target_1,fare_0.95,title_Mrs,91,2
11,target_1,pclass_1.00,is_alone_0.00,155,3
11,target_1,pclass_1.00,title_Mrs,132,2
11,target_1,sex_female,is_alone_0.00,252,4
11,target_1,sex_female,pclass_1.00,139,3
11,target_1,sex_female,title_Mrs,343,5
11,target_1,title_Mrs,is_alone_0.00,244,4
12,target_1,age_0.35,embarked_C,20,1
12,target_1,age_0.35,family_size_0.00,31,1
12,target_1,age_0.35,fare_0.95,15,1
12,target_1,age_0.35,is_alone_0.00,44,1
12,target_1,age_0.35,pclass_1.00,17,1
12,target_1,age_0.35,sex_female,52,1
12,target_1,age_0.35,title_rare,3,1
12,target_1,embarked_C,is_alone_0.00,111,2
12,target_1,embarked_C,pclass_1.00,97,2
12,target_1,embarked_C,sex_female,102,2
12,target_1,embarked_C,title_rare,9,1
12,target_1,family_size_0.00,embarked_C,59,1
12,target_1,family_size_0.00,is_alone_0.00,228,4
12,target_1,family_size_0.00,pclass_1.00,80,2
12,target_1,family_size_0.00,sex_female,151,3
12,target_1,family_size_0.00,title_rare,11,1
12,target_1,fare_0.95,embarked_C,60,1
12,target_1,fare_0.95,family_size_0.00,36,1
12,target_1,fare_0.95,is_alone_0.00,77,2
12,target_1,fare_0.95,pclass_1.00,111,2
12,target_1,fare_0.95,sex_female,95,2
12,target_1,fare_0.95,title_rare,6,1
12,target_1,pclass_1.00,is_alone_0.00,155,3
12,target_1,pclass_1.00,title_rare,14,1
12,target_1,sex_female,is_alone_0.00,252,4
12,target_1,sex_female,pclass_1.00,139,3
12,target_1,sex_female,title_rare,8,1
12,target_1,title_rare,is_alone_0.00,13,1
13,target_1,age_0.45,embarked_S,19,1
13,target_1,age_0.45,family_size_0.00,19,1
13,target_1,age_0.45,fare_0.95,4,1
13,target_1,age_0.45,is_alone_0.00,25,1
13,target_1,age_0.45,pclass_1.00,7,1
13,target_1,age_0.45,sex_female,14,1
13,target_1,age_0.45,title_Mrs,14,1
13,target_1,embarked_S,is_alone_0.00,200,3
