target,node_1,node_2,count,edge_weight
target_1,age_0.05,embarked_C,1,1
target_1,age_0.05,embarked_S,3,1
target_1,age_0.05,family_size_2.00,2,1
target_1,age_0.05,family_size_3.00,2,1
target_1,age_0.05,fare_0.95,4,1
target_1,age_0.05,is_alone_1.00,4,1
target_1,age_0.05,sex_female,1,1
target_1,age_0.05,sex_male,3,1
target_1,age_0.05,survived_0,1,1
target_1,age_0.05,survived_1,3,1
target_1,age_0.05,title_Mr,3,1
target_1,age_0.05,title_Mrs,1,1
target_1,age_0.15,embarked_C,7,1
target_1,age_0.15,embarked_S,10,1
target_1,age_0.15,family_size_0.00,2,1
target_1,age_0.15,family_size_1.00,9,1
target_1,age_0.15,family_size_2.00,2,1
target_1,age_0.15,family_size_3.00,2,1
target_1,age_0.15,family_size_4.00,2,1
target_1,age_0.15,fare_0.85,6,1
target_1,age_0.15,fare_0.95,11,1
target_1,age_0.15,is_alone_0.00,11,1
target_1,age_0.15,is_alone_1.00,6,1
target_1,age_0.15,sex_female,12,1
target_1,age_0.15,sex_male,5,1
target_1,age_0.15,survived_0,2,1
target_1,age_0.15,survived_1,15,1
target_1,age_0.15,title_Mr,5,1
target_1,age_0.15,title_Mrs,12,1
target_1,age_0.25,embarked_C,3,1
target_1,age_0.25,embarked_S,9,1
target_1,age_0.25,family_size_0.00,5,1
target_1,age_0.25,family_size_1.00,4,1
target_1,age_0.25,family_size_2.00,1,1
target_1,age_0.25,family_size_4.00,1,1
target_1,age_0.25,family_size_5.00,1,1
target_1,age_0.25,fare_0.75,5,1
target_1,age_0.25,fare_0.85,1,1
target_1,age_0.25,fare_0.95,6,1
target_1,age_0.25,is_alone_0.00,9,1
target_1,age_0.25,is_alone_1.00,3,1
target_1,age_0.25,sex_female,6,1
target_1,age_0.25,sex_male,6,1
target_1,age_0.25,survived_0,4,1
target_1,age_0.25,survived_1,8,1
target_1,age_0.25,title_Mr,6,1
target_1,age_0.25,title_Mrs,6,1
target_1,age_0.35,embarked_C,13,1
target_1,age_0.35,embarked_S,9,1
target_1,age_0.35,family_size_0.00,8,1
target_1,age_0.35,family_size_1.00,11,1
target_1,age_0.35,family_size_2.00,1,1
target_1,age_0.35,family_size_5.00,2,1
target_1,age_0.35,fare_0.85,5,1
target_1,age_0.35,fare_0.95,17,1
target_1,age_0.35,is_alone_0.00,19,1
target_1,age_0.35,is_alone_1.00,3,1
target_1,age_0.35,sex_female,15,1
target_1,age_0.35,sex_male,7,1
target_1,age_0.35,survived_0,5,1
target_1,age_0.35,survived_1,17,1
target_1,age_0.35,title_Mr,7,1
target_1,age_0.35,title_Mrs,12,1
target_1,age_0.35,title_rare,3,1
target_1,age_0.45,embarked_C,7,1
target_1,age_0.45,embarked_S,2,1
target_1,age_0.45,family_size_0.00,3,1
target_1,age_0.45,family_size_1.00,5,1
target_1,age_0.45,family_size_3.00,1,1
target_1,age_0.45,fare_0.75,2,1
target_1,age_0.45,fare_0.85,2,1
target_1,age_0.45,fare_0.95,5,1
target_1,age_0.45,is_alone_0.00,8,1
target_1,age_0.45,is_alone_1.00,1,1
target_1,age_0.45,sex_female,5,1
target_1,age_0.45,sex_male,4,1
target_1,age_0.45,survived_0,2,1
target_1,age_0.45,survived_1,7,1
target_1,age_0.45,title_Mr,4,1
target_1,age_0.45,title_Mrs,5,1
target_1,age_0.55,embarked_C,7,1
target_1,age_0.55,embarked_S,14,1
target_1,age_0.55,family_size_0.00,13,1
target_1,age_0.55,family_size_1.00,4,1
target_1,age_0.55,family_size_2.00,2,1
target_1,age_0.55,family_size_3.00,1,1
target_1,age_0.55,family_size_5.00,1,1
target_1,age_0.55,fare_0.75,5,1
target_1,age_0.55,fare_0.85,7,1
target_1,age_0.55,fare_0.95,9,1
target_1,age_0.55,is_alone_0.00,17,1
target_1,age_0.55,is_alone_1.00,4,1
target_1,age_0.55,sex_female,6,1
target_1,age_0.55,sex_male,15,1
target_1,age_0.55,survived_0,9,1
target_1,age_0.55,survived_1,12,1
target_1,age_0.55,title_Mr,14,1
target_1,age_0.55,title_Mrs,6,1
target_1,age_0.55,title_rare,1,1
target_1,age_0.65,embarked_C,14,1
target_1,age_0.65,embarked_Q,1,1
target_1,age_0.65,embarked_S,16,1
target_1,age_0.65,family_size_0.00,22,1
target_1,age_0.65,family_size_1.00,7,1
target_1,age_0.65,family_size_2.00,1,1
target_1,age_0.65,family_size_3.00,1,1
target_1,age_0.65,fare_0.15,1,1
target_1,age_0.65,fare_0.75,8,1
target_1,age_0.65,fare_0.85,7,1
target_1,age_0.65,fare_0.95,15,1
target_1,age_0.65,is_alone_0.00,29,1
target_1,age_0.65,is_alone_1.00,2,1
