id,target,node_1,node_2,count,edge_weight
0,target_1,age_0.55,embarked_S,14,1
0,target_1,age_0.55,family_size_0.00,13,1
0,target_1,age_0.55,fare_0.95,9,1
0,target_1,age_0.55,is_alone_0.00,17,1
0,target_1,age_0.55,sex_female,6,1
0,target_1,age_0.55,survived_1,12,1
0,target_1,age_0.55,title_Mrs,6,1
0,target_1,embarked_S,is_alone_0.00,141,3
0,target_1,embarked_S,sex_female,71,2
0,target_1,embarked_S,survived_1,101,3
0,target_1,embarked_S,title_Mrs,69,2
0,target_1,family_size_0.00,embarked_S,93,2
0,target_1,family_size_0.00,is_alone_0.00,158,4
0,target_1,family_size_0.00,sex_female,52,2
0,target_1,family_size_0.00,survived_1,82,2
0,target_1,family_size_0.00,title_Mrs,46,1
0,target_1,fare_0.95,embarked_S,69,2
0,target_1,fare_0.95,family_size_0.00,46,1
0,target_1,fare_0.95,is_alone_0.00,107,3
0,target_1,fare_0.95,sex_female,95,2
0,target_1,fare_0.95,survived_1,111,3
0,target_1,fare_0.95,title_Mrs,91,2
0,target_1,is_alone_0.00,survived_1,157,4
0,target_1,sex_female,is_alone_0.00,111,3
0,target_1,sex_female,survived_1,139,3
0,target_1,sex_female,title_Mrs,137,3
0,target_1,title_Mrs,is_alone_0.00,104,3
0,target_1,title_Mrs,survived_1,132,3
1,target_1,age_0.05,embarked_S,3,1
1,target_1,age_0.05,family_size_3.00,2,1
1,target_1,age_0.05,fare_0.95,4,1
1,target_1,age_0.05,is_alone_1.00,4,1
1,target_1,age_0.05,sex_male,3,1
1,target_1,age_0.05,survived_1,3,1
1,target_1,age_0.05,title_Mr,3,1
1,target_1,embarked_S,is_alone_1.00,36,1
1,target_1,embarked_S,sex_male,106,3
1,target_1,embarked_S,survived_1,101,3
1,target_1,embarked_S,title_Mr,99,2
1,target_1,family_size_3.00,embarked_S,9,1
1,target_1,family_size_3.00,is_alone_1.00,9,1
1,target_1,family_size_3.00,sex_male,4,1
1,target_1,family_size_3.00,survived_1,6,1
1,target_1,family_size_3.00,title_Mr,4,1
1,target_1,fare_0.95,embarked_S,69,2
1,target_1,fare_0.95,family_size_3.00,8,1
1,target_1,fare_0.95,is_alone_1.00,50,1
1,target_1,fare_0.95,sex_male,62,2
1,target_1,fare_0.95,survived_1,111,3
1,target_1,fare_0.95,title_Mr,57,2
1,target_1,is_alone_1.00,survived_1,43,1
1,target_1,sex_male,is_alone_1.00,26,1
1,target_1,sex_male,survived_1,61,2
1,target_1,sex_male,title_Mr,162,4
1,target_1,title_Mr,is_alone_1.00,22,1
1,target_1,title_Mr,survived_1,54,2
2,target_1,age_0.05,embarked_S,3,1
2,target_1,age_0.05,family_size_3.00,2,1
2,target_1,age_0.05,fare_0.95,4,1
2,target_1,age_0.05,is_alone_1.00,4,1
2,target_1,age_0.05,sex_female,1,1
2,target_1,age_0.05,survived_0,1,1
2,target_1,age_0.05,title_Mrs,1,1
2,target_1,embarked_S,is_alone_1.00,36,1
2,target_1,embarked_S,sex_female,71,2
2,target_1,embarked_S,survived_0,76,2
2,target_1,embarked_S,title_Mrs,69,2
2,target_1,family_size_3.00,embarked_S,9,1
2,target_1,family_size_3.00,is_alone_1.00,9,1
2,target_1,family_size_3.00,sex_female,5,1
2,target_1,family_size_3.00,survived_0,3,1
2,target_1,family_size_3.00,title_Mrs,5,1
2,target_1,fare_0.95,embarked_S,69,2
2,target_1,fare_0.95,family_size_3.00,8,1
2,target_1,fare_0.95,is_alone_1.00,50,1
2,target_1,fare_0.95,sex_female,95,2
2,target_1,fare_0.95,survived_0,46,1
2,target_1,fare_0.95,title_Mrs,91,2
2,target_1,is_alone_1.00,survived_0,16,1
2,target_1,sex_female,is_alone_1.00,33,1
2,target_1,sex_female,survived_0,5,1
2,target_1,sex_female,title_Mrs,137,3
2,target_1,title_Mrs,is_alone_1.00,33,1
2,target_1,title_Mrs,survived_0,5,1
3,target_1,age_0.65,embarked_S,16,1
3,target_1,age_0.65,family_size_3.00,1,1
3,target_1,age_0.65,fare_0.95,15,1
3,target_1,age_0.65,is_alone_1.00,2,1
3,target_1,age_0.65,sex_male,14,1
3,target_1,age_0.65,survived_0,10,1
3,target_1,age_0.65,title_Mr,13,1
3,target_1,embarked_S,is_alone_1.00,36,1
3,target_1,embarked_S,sex_male,106,3
3,target_1,embarked_S,survived_0,76,2
3,target_1,embarked_S,title_Mr,99,2
