id,age,gender,height_cm,weight_kg,body_fat_%,diastolic,systolic,gripForce,sit_and_bend_forward_cm,sit-ups_counts,broad_jump_cm,y_true,y_predict,high_performance,mid_performance,low_performance
0,26-35,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,over_47,6-mid-23,over_54,150-mid-229,mid_performance,mid_performance,0,1,0
1,<25,M,160-mid-176,55-mid-79,under_15,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
2,26-35,M,over_176,55-mid-79,15-mid-30,over_89,over_144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
3,26-35,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,over_144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
4,26-35,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,over_23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
5,36-45,F,160-mid-176,under_55,15-mid-30,under_68,115-mid-144,under_26,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
6,36-45,F,160-mid-176,55-mid-79,over_30,68-mid-89,115-mid-144,under_26,under_6,under_25,under_150,low_performance,low_performance,0,0,1
7,26-35,M,160-mid-176,55-mid-79,over_30,68-mid-89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,over_229,mid_performance,mid_performance,0,1,0
8,46-55,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,over_144,26-mid-47,6-mid-23,25-mid-54,under_150,mid_performance,mid_performance,0,1,0
9,26-35,M,over_176,over_79,under_15,68-mid-89,over_144,over_47,6-mid-23,over_54,150-mid-229,mid_performance,mid_performance,0,1,0
10,36-45,M,160-mid-176,55-mid-79,15-mid-30,under_68,under_115,26-mid-47,6-mid-23,over_54,150-mid-229,high_performance,high_performance,1,0,0
11,>55,F,under_160,under_55,15-mid-30,68-mid-89,under_115,under_26,over_23,under_25,under_150,low_performance,low_performance,0,0,1
12,26-35,F,under_160,under_55,over_30,68-mid-89,115-mid-144,under_26,6-mid-23,25-mid-54,under_150,mid_performance,mid_performance,0,1,0
13,<25,M,160-mid-176,55-mid-79,under_15,68-mid-89,under_115,over_47,6-mid-23,over_54,over_229,mid_performance,mid_performance,0,1,0
14,<25,M,over_176,over_79,15-mid-30,68-mid-89,115-mid-144,over_47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
15,36-45,F,under_160,55-mid-79,over_30,over_89,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,high_performance,high_performance,1,0,0
16,<25,F,160-mid-176,55-mid-79,15-mid-30,68-mid-89,115-mid-144,under_26,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
17,26-35,M,over_176,55-mid-79,under_15,under_68,115-mid-144,over_47,6-mid-23,over_54,over_229,high_performance,high_performance,1,0,0
18,26-35,M,160-mid-176,55-mid-79,15-mid-30,under_68,115-mid-144,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
19,<25,F,160-mid-176,under_55,15-mid-30,68-mid-89,115-mid-144,under_26,6-mid-23,25-mid-54,under_150,mid_performance,mid_performance,0,1,0
20,<25,F,160-mid-176,55-mid-79,over_30,68-mid-89,115-mid-144,under_26,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
21,>55,F,under_160,55-mid-79,15-mid-30,68-mid-89,115-mid-144,26-mid-47,over_23,under_25,under_150,high_performance,high_performance,1,0,0
22,36-45,M,160-mid-176,55-mid-79,15-mid-30,68-mid-89,under_115,under_26,6-mid-23,over_54,150-mid-229,low_performance,low_performance,0,0,1
23,36-45,M,160-mid-176,55-mid-79,under_15,under_68,under_115,26-mid-47,6-mid-23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
24,<25,F,160-mid-176,55-mid-79,15-mid-30,over_89,115-mid-144,under_26,over_23,25-mid-54,150-mid-229,mid_performance,mid_performance,0,1,0
