id,Gender,Age_range,Ethnicity,MaritalStatus,c_charge_degree,c_charge_desc,is_recid,is_violent_recid,score_risk_recidivism,score_text_risk_recidivism,score_risk_violence,score_text_risk_violence,Low_Recid,Medium_Recid,High_Recid,No_Recid,Recid,y_predict,y_true
0,Male,Greater than 45,Other,Single,F,Aggravated Assault w/Firearm,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
1,Male,25 - 45,African-American,Single,F,Felony Battery w/Prior Convict,YES,YES,3,Low,1,Low,1,0,0,0,1,No_Recid,Recid
4,Male,25 - 45,Other,Separated,M,Battery,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
5,Male,25 - 45,Other,Married,F,arrest case no charge,NO,NO,4,Low,3,Low,1,0,0,1,0,No_Recid,No_Recid
6,Female,25 - 45,Caucasian,Single,M,Battery,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
8,Male,25 - 45,Caucasian,Single,F,"Poss 3,4 MDMA (Ecstasy)",NO,NO,4,Low,4,Low,1,0,0,1,0,No_Recid,No_Recid
9,Female,25 - 45,Caucasian,Married,M,Battery,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
10,Male,25 - 45,African-American,Single,F,"Poss3,4 Methylenedioxymethcath",NO,NO,4,Low,2,Low,1,0,0,1,0,No_Recid,No_Recid
11,Male,25 - 45,Hispanic,Other,M,Battery,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
12,Male,25 - 45,African-American,Single,F,Grand Theft in the 3rd Degree,NO,NO,10,High,9,High,0,0,1,1,0,Recid,No_Recid
13,Male,25 - 45,Caucasian,Single,F,Driving While License Revoked,YES,YES,5,Medium,4,Low,0,1,0,0,1,No_Recid,Recid
14,Female,Less than 25,Caucasian,Single,F,Introduce Contraband Into Jail,NO,NO,4,Low,5,Medium,1,0,0,1,0,No_Recid,No_Recid
15,Male,25 - 45,Caucasian,Separated,M,Susp Drivers Lic 1st Offense,NO,NO,1,Low,2,Low,1,0,0,1,0,No_Recid,No_Recid
16,Male,25 - 45,Other,Single,M,Battery,NO,NO,3,Low,4,Low,1,0,0,1,0,No_Recid,No_Recid
17,Male,25 - 45,African-American,Single,F,Carrying Concealed Firearm,YES,YES,3,Low,3,Low,1,0,0,0,1,No_Recid,Recid
19,Male,25 - 45,African-American,Single,F,Tampering With Physical Evidence,YES,YES,10,High,6,Medium,0,0,1,0,1,Recid,Recid
20,Male,Greater than 45,Caucasian,Single,F,arrest case no charge,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
23,Male,25 - 45,Caucasian,Single,M,Possess Cannabis/20 Grams Or Less,NO,NO,2,Low,2,Low,1,0,0,1,0,No_Recid,No_Recid
24,Female,Less than 25,African-American,Single,F,arrest case no charge,NO,NO,8,High,8,High,0,0,1,1,0,Recid,No_Recid
25,Male,Greater than 45,African-American,Single,M,Unlaw Use False Name/Identity,NO,NO,1,Low,1,Low,1,0,0,1,0,No_Recid,No_Recid
26,Female,Greater than 45,African-American,Separated,F,Possession of Cocaine,NO,NO,2,Low,2,Low,1,0,0,1,0,No_Recid,No_Recid
27,Male,25 - 45,Caucasian,Single,M,Battery,YES,YES,10,High,9,High,0,0,1,0,1,Recid,Recid
28,Male,25 - 45,African-American,Other,F,Uttering a Forged Instrument,YES,YES,8,High,3,Low,0,0,1,0,1,Recid,Recid
