feature_value,reason
Age_range_25 - 45,middle-aged
Age_range_Greater than 45,be older than 45 years
Age_range_Less than 25,be young
Ethnicity_African-American,being black
Ethnicity_Asian,being of Asian race
Ethnicity_Caucasian,being white
Ethnicity_Hispanic,being Latin American
Ethnicity_Native American,being Native American
Ethnicity_Other,not taking your race into account
is_recid_NO,not being a repeat offender
is_recid_YES,be a repeat offender
is_violent_recid_NO,not being a repeat offender
is_violent_recid_YES,be a violent repeat offender
