target,feature_value,reason
A,accomodation_Other,vive en otras instalaciones
A,accomodation_dormitory,vive en un dormitorio
A,accomodation_rental,vive de alquiler
A,accomodation_with family,vive con su familia
A,age_18-21,se encuentra por debajo de la media de edad
A,age_22-25,se encuentra en la media de edad
A,age_above 26,se encuentra por encima de la media de edad
A,father_occup_government officer,su padre es funcionario
A,father_occup_other,su padre se encuentra en otra situación laboral
A,father_occup_private sector employee,su padre es trabajador por cuenta ajena
A,father_occup_retired,su padre está jubilado
A,father_occup_self-employment,su padre es trabajador por cuenta propia
A,impact_of_projects_negative,el impacto de los proyectos ha sido negativo
A,impact_of_projects_neutral,el impacto de los proyectos ha sido neutro
A,impact_of_projects_positive,el impacto de los proyectos ha sido positivo
A,mother_ed_MSc.,su madre posee un master
A,mother_ed_Ph.D.,su madre es doctora
A,mother_ed_high school,su madre tiene el instituto
A,mother_ed_primary school,su madre tiene la escuela primaria
A,mother_ed_secondary school,su madre tiene la escuela secundaria
A,mother_ed_university,su madre tiene un título universitario
A,mother_occup_government officer,su madre es funcionaria
A,mother_occup_housewife,su madre es ama de casa
A,mother_occup_private sector employee,su madre es trabajadora por cuenta ajena
A,mother_occup_retired,su madre está jubilada
A,mother_occup_self-employment,su madre es trabajadora por cuenta propia
A,partner_No,no dispone de Partner
A,partner_Yes,dispone de Partner
A,preparation_midterm_company_alone,ha preparado los exámenes en solitario
A,preparation_midterm_company_not applicable,ya que no se dispone de información
A,preparation_midterm_company_with friends,ha preparado los exámenes con amigos
A,scholarship_type_25%,ha completado un cuarto del nivel de escolarización
A,scholarship_type_50%,ha completado la mitad del nivel de escolarización
A,scholarship_type_75%,ha completado tres cuartos del nivel de escolarización
A,scholarship_type_Full,ha completado su nivel de escolarización
A,scholarship_type_None,no ha completado ningún nivel de escolarización
A,sex_female,es una mujer
A,sex_male,es un hombre
A,total_salary_USD 135-200,el nivel de ingresos familiar es el más bajo
A,total_salary_USD 201-270,el nivel de ingresos familiar se encuentra por debajo de la media
A,total_salary_USD 271-340,el nivel de ingresos familiar se encuentra en la media
A,total_salary_USD 341-410,el nivel de ingresos familiar se encuentra por encima de la media
A,total_salary_above 410,el nivel de ingresos familiar es el más alto
A,transport_Bus,el autobus es su medio de transporte habitual
A,transport_Other,utiliza otros medios de transporte alternativos
A,transport_Private car/taxi,el coche privado o el taxi son sus medios de transporte habituales
A,transport_bicycle,la bicicleta es su medio de transporte habitual
A,weekly_study_hours_<5 hours,su dedicación al estudio (en horas) es de los más bajos
A,weekly_study_hours_6-10 hours,su dedicación al estudio (en horas) está por debajo de la media
A,weekly_study_hours_11-20 hours,su dedicación al estudio (en horas está por encima de la media
A,weekly_study_hours_more than 20 hours,su dedicación al estudio (en horas) es de los más altos
A,weekly_study_hours_None,su dedicación al estudio (en horas) es nulo
B,accomodation_Other,vive en otras instalaciones
B,accomodation_dormitory,vive en un dormitorio
B,accomodation_rental,vive de alquiler
B,accomodation_with family,vive con su familia
B,age_18-21,se encuentra por debajo de la media de edad
B,age_22-25,se encuentra en la media de edad
B,age_above 26,se encuentra por encima de la media de edad
