target,feature_value,reason
Apple,battery size_4000_4700_mAh,algunos telefonos de Apple tienen un tamano de bateria entre 4000 y 4700 mAh
Apple,battery size_<4000_mAh,muchos modelos de Apple tienen baterias mas pequenas de 4000 mAh
Apple,battery size_>4700_mAh,pocos telefonos de Apple cuentan con baterias mayores de 4700 mAh
Apple,internal memory_128_GB,muchos telefonos de Apple ofrecen 128 GB de memoria interna
Apple,internal memory_<=64_GB,los modelos basicos de Apple tienen 64 GB o menos de memoria interna
Apple,internal memory_>=256_GB,muchos telefonos de Apple vienen con 256 GB de memoria interna
Apple,main camera_15_50_MP,algunos telefonos de Apple tienen camaras principales entre 15 y 50 MP
Apple,main camera_<15_MP,muchos modelos antiguos de Apple tienen camaras principales con menos de 15 MP
Apple,main camera_>50_MP,los modelos mas nuevos de Apple tienen camaras principales con mas de 50 MP
Apple,performance_Low,algunos modelos economicos de Apple tienen baja rendimiento
Apple,performance_Mid,muchos telefonos de Apple ofrecen rendimiento de gama media
Apple,performance_Top,los modelos de gama alta de Apple proporcionan alto rendimiento
Apple,performance_Ultra top,los telefonos insignia de Apple ofrecen rendimiento ultra alto
Apple,price_200_450_dollars,Apple ofrece algunos telefonos en el rango de 200 a 450 dolares
Apple,price_450_700_dollars,muchos modelos de Apple tienen precios entre 450 y 700 dolares
Apple,price_<200_dollars,muy pocos telefonos de Apple tienen un precio por debajo de 200 dolares
Apple,price_>700_dollars,los modelos premium de Apple a menudo superan los 700 dolares
Apple,screen size_6.4_6.6_inches,muchos telefonos de Apple tienen pantallas entre 6.4 y 6.6 pulgadas
Apple,screen size_<6.4_inches,muchos modelos de Apple tienen pantallas mas pequenas de 6.4 pulgadas
Apple,screen size_>6.6_inches,los telefonos grandes de Apple tienen pantallas mas grandes de 6.6 pulgadas
Apple,selfie camera_10_30_MP,los telefonos de Apple tipicamente tienen camaras selfies entre 10 y 30 MP
Apple,selfie camera_<10_MP,los modelos de entrada de Apple tienen camaras selfies con menos de 10 MP
Apple,selfie camera_>30_MP,los modelos mas nuevos de Apple tienen camaras selfies con mas de 30 MP
Apple,weight_190_205_g,algunos telefonos de Apple pesan entre 190 y 205 gramos
Apple,weight_<190_g,muchos modelos de Apple pesan menos de 190 gramos
Apple,weight_>205_g,los telefonos grandes de Apple pesan mas de 205 gramos
Google,battery size_4000_4700_mAh,muchos telefonos de Google tienen un tamano de bateria entre 4000 y 4700 mAh
Google,battery size_<4000_mAh,algunos modelos de Google tienen baterias mas pequenas de 4000 mAh
Google,battery size_>4700_mAh,los telefonos de alta gama de Google tienen baterias mas grandes de 4700 mAh
Google,internal memory_128_GB,muchos telefonos de Google ofrecen 128 GB de memoria interna
Google,internal memory_<=64_GB,los modelos de entrada de Google tienen 64 GB o menos de memoria interna
Google,internal memory_>=256_GB,los telefonos premium de Google vienen con 256 GB o mas de memoria interna
Google,main camera_15_50_MP,los telefonos de Google tipicamente tienen camaras principales entre 15 y 50 MP
Google,main camera_<15_MP,los modelos antiguos de Google tienen camaras principales con menos de 15 MP
Google,main camera_>50_MP,los modelos mas nuevos de Google tienen camaras principales con mas de 50 MP
Google,performance_Low,algunos modelos economicos de Google tienen bajo rendimiento
Google,performance_Mid,muchos telefonos de Google ofrecen rendimiento de gama media
Google,performance_Top,pocos modelos de Google proporcionan alto rendimiento
Google,performance_Ultra top,los telefonos insignia de Google ofrecen rendimiento ultra alto
Google,price_200_450_dollars,Google ofrece algunos telefonos en el rango de 200 a 450 dolares
Google,price_450_700_dollars,muchos modelos de Google tienen precios entre 450 y 700 dolares
Google,price_<200_dollars,pocos telefonos de Google tienen un precio por debajo de 200 dolares
Google,price_>700_dollars,los modelos premium de Google a menudo superan los 700 dolares
Google,screen size_6.4_6.6_inches,algunos telefonos de Google tienen pantallas entre 6.4 y 6.6 pulgadas
Google,screen size_<6.4_inches,muchos modelos de Google tienen pantallas mas pequenas de 6.4 pulgadas
Google,screen size_>6.6_inches,los telefonos grandes de Google tienen pantallas mas grandes de 6.6 pulgadas
Google,selfie camera_10_30_MP,algunos telefonos de Google tienen camaras selfies entre 10 y 30 MP
Google,selfie camera_<10_MP,muchos modelos de Google tienen camaras selfies con menos de 10 MP
Google,selfie camera_>30_MP,los modelos mas nuevos de Google tienen camaras selfies con mas de 30 MP
Google,weight_190_205_g,algunos telefonos de Google pesan entre 190 y 205 gramos
Google,weight_<190_g,los modelos ligeros de Google pesan menos de 190 gramos
